country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Egypt,Arabic,Married,Female,Rural,EG-ASN Aswan,35-44,Lower,Working class,7,No answer,No answer,No answer,No answer,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,7,No answer,No answer,7,No answer,Nunca justificable,Importante,Nunca justificable,Nunca justificable,1,No answer,No answer,No answer,2,No answer,No es importante,No answer,Importante,No lo sé,No es importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,No answer,No answer,No answer,No answer,2,No answer,No answer,No es importante,No answer,No answer,No answer,Bastante orgulloso,Importante,No answer,No answer,Bastante importante,Totalmente en desacuerdo,Totalmente en desacuerdo,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No answer,No answer,¡Qué bien!,Muy importante,No answer,No answer,Bastante importante,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No mucho,Bastante,No answer,Bastante,Bastante
Egypt,Arabic,Married,Male,Rural,EG-ASN Aswan,45-54,Lower,Working class,7,4,4,No answer,4,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,8,5,7,7,Nunca justificable,No answer,Importante,No answer,Nunca justificable,No answer,3,3,6,2,No answer,No es importante,Bastante importante,Importante,No lo sé,No lo sé,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,No answer,No answer,10,8,2,10,10,No es importante,No answer,5,Bastante respeto,Bastante orgulloso,Importante,No answer,No answer,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No answer,No answer,No me importa,Muy importante,No answer,No answer,Bastante importante,No answer,No answer,No answer,No answer,Bastante,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No mucho,Bastante,No answer,Bastante,Bastante
Egypt,Arabic,Married,Female,Rural,EG-AST Asyut,16-24,Lower,Lower class,7,6,No answer,No answer,4,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,No answer,No answer,No answer,9,No answer,Nunca justificable,Importante,Nunca justificable,Nunca justificable,No answer,No answer,2,5,3,No answer,No es importante,Bastante importante,Importante,No lo sé,No lo sé,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,No answer,3,10,8,2,10,10,No es importante,No answer,No answer,Bastante respeto,Bastante orgulloso,No lo sé,Totalmente de acuerdo,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,No answer,Bastante importante,No lo sé,No lo sé,No lo sé,Muy importante,No answer,No answer,Bastante importante,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No mucho,No answer,No answer,No answer,No answer,No mucho,Bastante,No answer,Bastante,Bastante
Egypt,Arabic,Married,Female,Rural,EG-BH Beheira,45-54,Lower,Lower class,7,No answer,No answer,7,4,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,7,5,7,9,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,No answer,No answer,No answer,No answer,2,No answer,No es importante,Bastante importante,Importante,No lo sé,No lo sé,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,No answer,No answer,10,5,2,10,10,Importante,No answer,No answer,No answer,Bastante orgulloso,Importante,No answer,No answer,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No lo sé,No lo sé,¡Qué bien!,Muy importante,Confía plenamente,No answer,Bastante importante,No answer,No answer,No answer,Confía un poco,No answer,No answer,No answer,No answer,No answer,No answer,Bastante,No answer,No answer,No answer,No answer,No mucho,Bastante,No answer,Bastante,Bastante
Egypt,Arabic,Widowed,Female,Rural,EG-BH Beheira,55-64,Lower,Lower class,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,No answer,No answer,No answer,No answer,No answer,10,Nunca justificable,No answer,Importante,No answer,Nunca justificable,No answer,No answer,No answer,No answer,No answer,No answer,No es importante,No answer,Importante,No lo sé,No lo sé,No es importante,No answer,No answer,Muy mal,Bastante bueno,No es importante,No answer,No answer,No answer,No answer,2,No answer,No answer,Importante,No answer,No answer,No answer,Bastante orgulloso,No lo sé,No answer,No answer,Bastante importante,No answer,No answer,Totalmente de acuerdo,Estoy totalmente en desacuerdo.,No answer,No answer,No answer,No answer,No lo sé,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No mucho,Bastante,No answer,No answer,No answer
Egypt,Arabic,Married,Male,Rural,EG-BH Beheira,55-64,Lower,Lower class,7,7,5,7,4,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,7,5,7,9,No answer,Nunca justificable,Importante,Nunca justificable,Nunca justificable,No answer,No answer,3,6,2,No answer,No es importante,Bastante importante,Importante,No lo sé,No es importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,10,3,10,5,2,10,10,Importante,No answer,4,Bastante respeto,Bastante orgulloso,No lo sé,Totalmente de acuerdo,No answer,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No lo sé,No lo sé,No lo sé,Muy importante,Confía plenamente,No answer,Bastante importante,No answer,Confía un poco,Confía un poco,Confía un poco,No answer,No answer,No answer,No answer,No answer,No answer,Bastante,No answer,No answer,No mucho,No answer,No mucho,Bastante,No answer,Bastante,Bastante
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,25-34,Middle,Lower middle class,7,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,No answer,5,7,7,No answer,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,No answer,5,7,No answer,No answer,No es importante,No answer,Importante,No lo sé,No es importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No answer,No answer,No answer,No answer,No answer,2,No answer,10,No answer,No answer,5,Bastante respeto,No answer,No lo sé,Totalmente de acuerdo,Discrepar,No answer,Totalmente en desacuerdo,Totalmente en desacuerdo,Discrepar,No answer,Aceptar,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No lo sé,Bastante,Bastante,No answer,Bastante
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,35-44,Middle,Lower middle class,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,No answer,5,7,7,No answer,Nunca justificable,Importante,Nunca justificable,Nunca justificable,10,No answer,1,5,3,No answer,No es importante,No answer,Importante,No lo sé,No es importante,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No answer,No answer,No answer,No answer,No answer,2,No answer,10,No answer,No answer,5,Bastante respeto,No answer,No lo sé,Totalmente de acuerdo,Discrepar,No answer,Totalmente en desacuerdo,Totalmente en desacuerdo,Discrepar,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No lo sé,Bastante,Bastante,No answer,Bastante
Egypt,Arabic,Single,Male,Urban,EG-C Cairo,16-24,Middle,Lower middle class,7,4,4,No answer,4,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,7,5,8,6,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,No answer,No answer,5,7,3,No answer,No es importante,Bastante importante,Importante,No lo sé,No lo sé,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No lo sé,No answer,No answer,10,8,2,10,10,No es importante,No answer,5,Bastante respeto,Bastante orgulloso,Importante,No answer,Discrepar,No answer,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,Bastante importante,No answer,No answer,No lo sé,Muy importante,No answer,No answer,Bastante importante,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No lo sé,Bastante,No answer,Bastante,No lo sé
Egypt,Arabic,Married,Female,Rural,EG-DK Dakahlia,35-44,Lower,Lower middle class,7,No answer,No answer,7,No answer,No answer,No answer,Al ver que las personas tienen más voz sobre cómo se hacen las cosas en sus trabajos y en sus comunidades.,Dar a la gente más voz en las decisiones importantes del gobierno,No answer,No answer,No answer,No answer,9,Nunca justificable,Nunca justificable,Importante,Nunca justificable,Nunca justificable,1,1,1,6,2,No answer,No es importante,Bastante importante,Importante,No lo sé,No lo sé,No es importante,Muy mal,Bastante bueno,Muy mal,Bastante bueno,No es importante,10,No answer,No answer,No answer,2,10,10,No es importante,No answer,No answer,No answer,Bastante orgulloso,Importante,No answer,Discrepar,Bastante importante,Totalmente en desacuerdo,Discrepar,Discrepar,Estoy totalmente en desacuerdo.,Aceptar,No answer,No answer,No answer,No me importa,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Bastante,No lo sé,No answer,No answer,No lo sé,Bastante,Bastante,Bastante,Bastante
