country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Egypt,Arabic,Married,Female,Rural,EG-ASN Aswan,35-44,Lower,Working class,No answer,No answer,7,No answer,No answer,No answer,No answer,No answer,No answer,No answer,10,7,7,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,No answer,1,3,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,No answer,No answer,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,पता नहीं,No answer,असहमत,असहमत,पता नहीं,No answer,No answer,No answer,No answer,No answer,अची बात है,No answer,No answer,No answer,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Married,Male,Rural,EG-ASN Aswan,45-54,Lower,Working class,5,3,4,No answer,2,No answer,No answer,आर्थिक विकास का उच्च स्तर,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,8,6,8,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,1,1,3,No answer,No answer,No answer,पता नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,बहुत बुरा,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,10,7,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,पता नहीं,बल्कि महत्वपूर्ण,असहमत,असहमत,पता नहीं,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,No answer,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,No answer,काफी,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Married,Female,Rural,EG-AST Asyut,16-24,Lower,Lower class,5,3,4,No answer,No answer,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह देखना कि लोगों को अपने कार्यस्थल और अपने समुदाय में काम करने के तरीके के बारे में अधिक बोलने का अधिकार है,No answer,No answer,10,7,8,10,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,No answer,1,3,No answer,No answer,No answer,पता नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,10,7,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,No answer,No answer,असहमत,असहमत,पता नहीं,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,कुछ हद तक भरोसा करें,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,No answer,काफी,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Married,Female,Rural,EG-BH Beheira,45-54,Lower,Lower class,5,3,4,No answer,No answer,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह देखना कि लोगों को अपने कार्यस्थल और अपने समुदाय में काम करने के तरीके के बारे में अधिक बोलने का अधिकार है,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,8,7,7,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,1,1,2,No answer,No answer,No answer,पता नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,10,7,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,पता नहीं,No answer,असहमत,असहमत,पता नहीं,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,कुछ हद तक भरोसा करें,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,काफी,काफी,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Widowed,Female,Rural,EG-BH Beheira,55-64,Lower,Lower class,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,कभी भी न्यायोचित नहीं,No answer,1,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,No answer,No answer,No answer,महत्वपूर्ण,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,कुछ हद तक भरोसा करें,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,No answer,काफी,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,No answer
Egypt,Arabic,Married,Male,Rural,EG-BH Beheira,55-64,Lower,Lower class,5,3,7,No answer,2,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह देखना कि लोगों को अपने कार्यस्थल और अपने समुदाय में काम करने के तरीके के बारे में अधिक बोलने का अधिकार है,No answer,8,8,7,8,10,3,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,1,1,1,5,3,No answer,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,10,4,10,8,2,10,10,महत्वपूर्ण,No answer,5,काफी सम्मान,काफी गर्व है,पता नहीं,No answer,पता नहीं,बल्कि महत्वपूर्ण,असहमत,असहमत,पता नहीं,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,कुछ हद तक भरोसा करें,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,काफी,काफी,काफी,No answer,No answer,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,No answer,बहुत ज़्यादा नहीं,काफी,काफी,काफी,No answer
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,25-34,Middle,Lower middle class,5,No answer,No answer,No answer,No answer,No answer,No answer,No answer,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,10,7,7,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,No answer,1,7,3,10,No answer,पता नहीं,No answer,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,No answer,No answer,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,पता नहीं,No answer,असहमत,No answer,असहमत,असहमत,सहमत,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,35-44,Middle,Lower middle class,5,4,3,No answer,No answer,No answer,No answer,No answer,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,10,7,7,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,No answer,1,7,3,10,No answer,पता नहीं,No answer,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,No answer,No answer,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,पता नहीं,No answer,पता नहीं,No answer,असहमत,असहमत,सहमत,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,काफी,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Single,Male,Urban,EG-C Cairo,16-24,Middle,Lower middle class,8,5,4,No answer,2,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह देखना कि लोगों को अपने कार्यस्थल और अपने समुदाय में काम करने के तरीके के बारे में अधिक बोलने का अधिकार है,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,10,7,8,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,1,1,6,3,10,No answer,पता नहीं,बहुत ज़रूरी,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,बहुत बुरा,काफी अच्छा,No answer,No answer,महत्वपूर्ण नहीं,10,4,10,7,2,10,10,पता नहीं,9,5,काफी सम्मान,काफी गर्व है,पता नहीं,No answer,पता नहीं,No answer,असहमत,असहमत,पता नहीं,असहमत,सहमत,No answer,बुरा मत मानना,अची बात है,अची बात है,No answer,No answer,कुछ हद तक भरोसा करें,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,काफी,No answer,No answer,No answer,No answer,No answer,बहुत ज़्यादा नहीं,No answer,No answer,No answer,काफी,काफी,No answer
Egypt,Arabic,Married,Female,Rural,EG-DK Dakahlia,35-44,Lower,Lower middle class,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,अभिव्यक्ति की स्वतंत्रता की रक्षा,No answer,10,7,7,No answer,No answer,No answer,महत्वपूर्ण,No answer,कभी भी न्यायोचित नहीं,No answer,1,3,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,महत्वपूर्ण,पता नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,4,No answer,No answer,2,10,10,महत्वपूर्ण,No answer,No answer,No answer,No answer,महत्वपूर्ण नहीं,No answer,पता नहीं,No answer,असहमत,असहमत,सहमत,No answer,सहमत,No answer,No answer,No answer,अची बात है,No answer,No answer,कुछ हद तक भरोसा करें,No answer,No answer,No answer,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,काफी,काफी,काफी
