country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Egypt,Arabic,Married,Female,Rural,EG-ASN Aswan,35-44,Lower,Working class,No answer,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,No answer,9,5,8,9,No answer,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,No answer,1,2,5,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,No answer,No answer,2,7,10,Важный,7,5,Довольно большое уважение,No answer,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,No answer,Соглашаться,Довольно важно,Плохая вещь,Не обращай внимания,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,No answer,Довольно много,Не очень много,Не очень много,Довольно много,No answer,Довольно много,Не очень много,Не очень много,No answer,Довольно много,Не знаю,Довольно много,Не знаю,No answer,Довольно много
Egypt,Arabic,Married,Male,Rural,EG-ASN Aswan,45-54,Lower,Working class,7,No answer,No answer,8,2,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,No answer,No answer,No answer,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,3,7,10,Важный,7,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Хорошая вещь.,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,Довольно много,Довольно много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Не знаю,Довольно много,Не знаю,No answer,Довольно много
Egypt,Arabic,Married,Female,Rural,EG-AST Asyut,16-24,Lower,Lower class,8,5,5,7,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,No answer,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,No answer,1,1,7,10,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,10,10,Важный,7,3,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Очень важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте немного,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Довольно много,Не знаю,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Не очень много,No answer,Не знаю,Довольно много,Довольно много,Не знаю,Довольно много
Egypt,Arabic,Married,Female,Rural,EG-BH Beheira,45-54,Lower,Lower class,5,No answer,No answer,7,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,8,5,8,10,No answer,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,No answer,1,1,7,10,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,10,10,Важный,7,3,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Довольно много,Не знаю,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Не очень много,Не знаю,Не знаю,Довольно много,Довольно много,Довольно много,Не знаю
Egypt,Arabic,Widowed,Female,Rural,EG-BH Beheira,55-64,Lower,Lower class,No answer,No answer,No answer,7,No answer,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",No answer,No answer,Предоставление людям большего права голоса при принятии важных государственных решений,No answer,8,5,8,10,Никогда не оправдано,No answer,Важный,No answer,Никогда не оправдано,No answer,No answer,No answer,No answer,No answer,No answer,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,No answer,No answer,No answer,No answer,2,10,10,Важный,No answer,No answer,No answer,No answer,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,No answer,No answer,Довольно важно,No answer,No answer,Не знаю,Очень важно,No answer,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,No answer,Довольно много,Не очень много,Не очень много,Не очень много,No answer,Не очень много,No answer,No answer,No answer,No answer,Не очень много,Довольно много,Не знаю,No answer,Довольно много
Egypt,Arabic,Married,Male,Rural,EG-BH Beheira,55-64,Lower,Lower class,10,No answer,No answer,7,3,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,No answer,8,5,8,10,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,7,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,3,10,10,Важный,7,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,Довольно много,Довольно много,Не очень много,Не очень много,Не знаю,Не очень много,Не очень много,Не очень много,Вообще ничего,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,25-34,Middle,Lower middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,7,10,Важный,7,5,Довольно большое уважение,Очень горжусь,Не знаю,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,No answer,No answer,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,No answer,Довольно много,No answer,No answer,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Довольно много,Довольно много,Не знаю,No answer,Довольно много
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,35-44,Middle,Lower middle class,7,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,7,10,Важный,7,5,Довольно большое уважение,No answer,Не знаю,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,No answer,No answer,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,No answer,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Довольно много,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Довольно много,Не знаю,Довольно много,Довольно много
Egypt,Arabic,Single,Male,Urban,EG-C Cairo,16-24,Middle,Lower middle class,8,No answer,No answer,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,3,1,5,10,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,7,10,Не важно,7,5,Довольно большое уважение,Очень горжусь,Важный,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,Не обращай внимания,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,Довольно много,Довольно много,No answer,No answer,Вообще ничего,No answer,Довольно много,Не знаю,Не очень много,No answer,No answer,No answer,Довольно много,Довольно много,Довольно много,Довольно много
Egypt,Arabic,Married,Female,Rural,EG-DK Dakahlia,35-44,Lower,Lower middle class,7,No answer,No answer,8,2,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,4,3,8,10,No answer,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,10,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,10,3,10,8,2,7,10,Важный,7,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,No answer,No answer,Довольно много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
