country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,8,5,7,8,2,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,3,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не знаю,7,3,10,7,2,10,10,Важный,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,5,7,8,2,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,3,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не знаю,7,3,10,7,2,10,10,Важный,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Довольно много,Не очень много,Не очень много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,5,7,8,2,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,2,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,3,10,7,2,10,10,Важный,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Довольно много,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,8,5,3,7,3,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,2,10,Не знаю,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не знаю,7,3,10,7,2,10,10,Важный,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Довольно много,Вообще ничего,Довольно много,Довольно много,Не очень много,Вообще ничего,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,3,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,3,10,7,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не знаю,Довольно важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Довольно много,Не очень много,Вообще ничего,Не очень много,Не очень много,Не знаю,Довольно много,Не знаю,Довольно много,Довольно много
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,3,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,3,10,7,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не знаю,Довольно важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Довольно много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,2,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,4,10,5,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не знаю,Довольно важно,Категорически не согласен,Категорически не согласен,Не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,2,10,Не важно,Довольно важно,Важный,Не знаю,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,4,10,5,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не знаю,Довольно важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Довольно много,Не очень много,Вообще ничего,Не очень много,Не очень много,Не знаю,Довольно много,Не знаю,Довольно много,Довольно много
India,Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,8,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,3,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,3,10,5,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Не очень много,Не очень много,Не очень много,Не очень много,Не знаю,Довольно много,Довольно много,Довольно много,Довольно много
India,Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,7,5,7,8,5,"Защита окружающей среды должна стать приоритетом, даже если это приведет к замедлению экономического роста и потере рабочих мест.",Да,"Видя, что у людей больше возможностей влиять на то, как обстоят дела на их работе и в их сообществах",Предоставление людям большего права голоса при принятии важных государственных решений,8,9,5,8,9,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,5,2,10,Не важно,Довольно важно,Важный,Не важно,Не важно,Не важно,Очень плохо,Довольно хорошо,Очень плохо,Очень хороший,Не важно,7,4,10,7,2,10,10,Не важно,7,6,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не знаю,Довольно важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Соглашаться,Довольно важно,Не знаю,Хорошая вещь.,Не знаю,Очень важно,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Доверяйте немного,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Довольно много,Довольно много,Не очень много,Вообще ничего,Не очень много,Не очень много,Не знаю,Довольно много,Не знаю,Довольно много,Довольно много
