country_name,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
japan,Japanese,Married,Female,Urban,JP-01 Hokkaido,55-64,Higher,Upper middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,doui suru,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,subarashii,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan
japan,Japanese,Married,Male,Urban,JP-12 Chiba,65 and more years,Higher,Lower middle class,7,5,1,3,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou,tsuyoku doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,kini shinaide,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,mattaku nai,kanaritakusan
japan,Japanese,Married,Female,Urban,JP-13 Tokyo,35-44,Higher,Lower middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,amarinai,kanaritakusan
japan,Japanese,Married,Female,Urban,JP-13 Tokyo,45-54,Higher,Lower middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,amarinai,kanaritakusan
japan,Japanese,Married,Female,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,amarinai,kanaritakusan
japan,Japanese,Married,Male,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,7,5,3,2,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,tsuyoku doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,kini shinaide,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan
japan,Japanese,Married,Male,Urban,JP-13 Tokyo,65 and more years,Higher,Lower middle class,7,5,3,2,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,7,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,tsuyoku doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,kini shinaide,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,mattaku nai,kanaritakusan
japan,Japanese,Married,Female,Urban,JP-14 Kanagawa,55-64,Higher,Lower middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,amarinai,kanaritakusan
japan,Japanese,Married,Male,Urban,JP-14 Kanagawa,65 and more years,Higher,Lower middle class,7,5,1,3,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,6,7,5,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,tsuyoku doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,kini shinaide,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,mattaku nai,kanaritakusan
japan,Japanese,Married,Female,Urban,JP-22 Shizuoka,65 and more years,Higher,Lower middle class,7,3,5,7,1,"tatoe kankyou gaaru teido akka shitatoshitemo , keizaiseichou to koyou soushutsu ga saiyuusen sarerubekidearu .",iie,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",genron no jiyuu wo mamoru,8,8,5,5,3,kesshite seitouka dekinai,tsuneni seitouka dekiru,juuyou,kesshite seitouka dekinai,tsuneni seitouka dekiru,6,3,2,3,2,1,juuyou,mushiro juuyou,juuyou,juuyou,juuyou,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou,2,3,4,3,2,4,10,juuyou,8,7,kanari sonkei shiteimasu,amari hokori takaku nai,juuyou,doui suru,tsuyoku hantai,mushiro juuyou,doui suru,tsuyoku hantai,doui suru,sansei demo hantai demonai,doui shinai,mushiro juuyou,yokatta,kini shinaide,yokatta,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,aru teido shinrai suru,aru teido shinrai suru,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,amarinai,kanaritakusan
