V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,G_TOWNSIZE2: Settlement size_5 groups,V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252: Social class (subjective),Counts
2006,-4,Missing,100000-500000,Female,15-24,English,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,15-24,English,Single/Never married,Lower,Lower middle class,1
2006,-4,Missing,100000-500000,Female,15-24,English,Single/Never married,Middle,Lower class,1
2006,-4,Missing,100000-500000,Female,15-24,English,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,15-24,English,Single/Never married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,15-24,English,Single/Never married,Middle,Working class,5
2006,-4,Missing,100000-500000,Female,15-24,Standard Chinese; Mandarin; Putonghua; Guoyu,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Divorced,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Divorced,Middle,Working class,2
2006,-4,Missing,100000-500000,Female,25-34,English,Married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Married,Higher,Working class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Married,Middle,Lower middle class,2
2006,-4,Missing,100000-500000,Female,25-34,English,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Separated,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Single/Never married,Higher,Lower middle class,2
2006,-4,Missing,100000-500000,Female,25-34,English,Single/Never married,Middle,Lower middle class,2
2006,-4,Missing,100000-500000,Female,25-34,English,Single/Never married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,25-34,English,Single/Never married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Divorced,Higher,Working class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Divorced,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Married,Middle,Upper middle class,3
2006,-4,Missing,100000-500000,Female,35-44,English,Married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Separated,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,35-44,English,Single/Never married,Middle,Lower middle class,2
2006,-4,Missing,100000-500000,Female,35-44,English,Single/Never married,Middle,Working class,3
2006,-4,Missing,100000-500000,Female,35-44,English,Widowed,Higher,Upper middle class,1
2006,-4,Missing,100000-500000,Female,35-44,Spanish; Castilian,Single/Never married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,45-54,English,Divorced,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,45-54,English,Married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Female,45-54,English,Married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,45-54,English,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,45-54,English,Married,Middle,Working class,2
2006,-4,Missing,100000-500000,Female,45-54,English,Single/Never married,Middle,Lower class,1
2006,-4,Missing,100000-500000,Female,45-54,Other,Married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,45-54,Other,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,45-54,Spanish; Castilian,Married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Female,45-54,Spanish; Castilian,Married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Divorced,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Married,Lower,Lower middle class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Married,Middle,Lower middle class,3
2006,-4,Missing,100000-500000,Female,55-64,English,Married,Middle,Upper middle class,5
2006,-4,Missing,100000-500000,Female,55-64,English,Married,Middle,Working class,2
2006,-4,Missing,100000-500000,Female,55-64,English,Single/Never married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Single/Never married,Middle,Lower class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Single/Never married,Middle,Working class,1
2006,-4,Missing,100000-500000,Female,55-64,English,Widowed,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Divorced,Middle,Lower middle class,2
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Divorced,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Divorced,Middle,Working class,2
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Married,Higher,Upper middle class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Married,Middle,Lower middle class,4
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Single/Never married,Higher,Working class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Widowed,Middle,Lower class,1
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Widowed,Middle,Lower middle class,2
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Widowed,Middle,Upper middle class,2
2006,-4,Missing,100000-500000,Female,"65 and more years""",English,Widowed,Middle,Working class,1
2006,-4,Missing,100000-500000,Male,15-24,English,Married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Male,15-24,English,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Male,15-24,English,Single/Never married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Male,15-24,English,Single/Never married,Middle,Working class,1
2006,-4,Missing,100000-500000,Male,15-24,Other,Single/Never married,Middle,Upper middle class,1
2006,-4,Missing,100000-500000,Male,25-34,English,Married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Male,25-34,English,Married,Middle,Lower middle class,4
2006,-4,Missing,100000-500000,Male,25-34,English,Married,Middle,Upper middle class,2
2006,-4,Missing,100000-500000,Male,25-34,English,Married,Middle,Working class,1
2006,-4,Missing,100000-500000,Male,25-34,English,Single/Never married,Higher,Upper class,1
2006,-4,Missing,100000-500000,Male,25-34,English,Single/Never married,Higher,Upper middle class,1
2006,-4,Missing,100000-500000,Male,25-34,English,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Male,25-34,Other,Married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Divorced,Higher,Upper middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Divorced,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Married,Higher,Upper class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Married,Middle,Lower class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Married,Middle,Lower middle class,4
2006,-4,Missing,100000-500000,Male,35-44,English,Married,Middle,Upper middle class,3
2006,-4,Missing,100000-500000,Male,35-44,English,Separated,Middle,Working class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Single/Never married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Single/Never married,Higher,Upper middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Single/Never married,Middle,Lower middle class,1
2006,-4,Missing,100000-500000,Male,35-44,English,Single/Never married,Middle,Upper middle class,2
2006,-4,Missing,100000-500000,Male,35-44,English,Single/Never married,Middle,Working class,2
2006,-4,Missing,100000-500000,Male,35-44,Spanish; Castilian,Married,Higher,Lower middle class,1
2006,-4,Missing,100000-500000,Male,35-44,Spanish; Castilian,Separated,Middle,Working class,1
2006,-4,Missing,100000-500000,Male,45-54,English,Divorced,Middle,Lower middle class,2
