A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2017,United States,US-CA California,Urban,Female,25-34,English,Married,Higher,Lower middle class,4
2017,United States,US-CA California,Urban,Female,25-34,English,Married,Higher,Upper middle class,4
2017,United States,US-CA California,Urban,Female,25-34,English,Single,Higher,Lower middle class,4
2017,United States,US-CA California,Urban,Female,45-54,English,Married,Higher,Lower middle class,5
2017,United States,US-CA California,Urban,Male,25-34,English,Married,Higher,Upper middle class,5
2017,United States,US-CA California,Urban,Male,35-44,English,Married,Higher,Lower middle class,6
2017,United States,US-CA California,Urban,Male,65 and more years,English,Married,Higher,Lower middle class,4
2017,United States,US-CA California,Urban,Male,65 and more years,English,Married,Higher,Upper middle class,11
2017,United States,US-FL Florida,Urban,Female,25-34,English,Married,Higher,Upper middle class,4
2017,United States,US-FL Florida,Urban,Female,45-54,English,Married,Middle,Working class,4
2017,United States,US-FL Florida,Urban,Male,35-44,English,Married,Higher,Lower middle class,5
2017,United States,US-IL Illinois,Urban,Male,55-64,English,Married,Higher,Upper middle class,4
2017,United States,US-ME Maine,Urban,Female,25-34,English,Single,Higher,Lower middle class,4
2017,United States,US-MN Minnesota,Urban,Female,25-34,English,Married,Higher,Lower middle class,5
2017,United States,US-MO Missouri,Urban,Male,65 and more years,English,Married,Higher,Upper middle class,4
2017,United States,US-NC North Carolina,Urban,Female,25-34,English,Single,Higher,Lower middle class,5
2017,United States,US-NE Nebraska,Urban,Male,25-34,English,Married,Higher,Lower middle class,5
2017,United States,US-NE Nebraska,Urban,Male,45-54,English,Married,Higher,Lower middle class,4
2017,United States,US-NJ New Jersey,Urban,Male,65 and more years,English,Married,Higher,Upper middle class,5
2017,United States,US-NY New York,Urban,Male,65 and more years,English,Married,Higher,Upper middle class,6
2017,United States,US-OH Ohio,Urban,Female,45-54,English,Married,Middle,Working class,4
2017,United States,US-OH Ohio,Urban,Male,65 and more years,English,Married,Higher,Upper middle class,4
2017,United States,US-TX Texas,Urban,Female,25-34,English,Married,Middle,Lower middle class,6
2017,United States,US-TX Texas,Urban,Male,25-34,English,Single,Higher,Upper middle class,4
2017,United States,US-TX Texas,Urban,Male,45-54,English,Married,Higher,Lower middle class,5
2017,United States,US-TX Texas,Urban,Male,55-64,English,Married,Higher,Lower middle class,4
2017,United States,US-VA Virginia,Urban,Male,55-64,English,Married,Higher,Upper middle class,4
