V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2011,-4,US-AK Alaska,Female,20,English,Single,Higher,Upper middle class,1
2011,-4,US-AK Alaska,Female,66,English,Married,Middle,Upper middle class,1
2011,-4,US-AK Alaska,Male,25,English,Single,Higher,Upper middle class,1
2011,-4,US-AL Alabama,Female,20,English,Single,Higher,No answer,1
2011,-4,US-AL Alabama,Female,23,English,Married,Middle,Upper middle class,1
2011,-4,US-AL Alabama,Female,26,English,Single,Higher,Working class,1
2011,-4,US-AL Alabama,Female,27,English,Single,Higher,Working class,1
2011,-4,US-AL Alabama,Female,29,English,Married,Higher,Upper middle class,1
2011,-4,US-AL Alabama,Female,46,English,Separated,Middle,Upper middle class,1
2011,-4,US-AL Alabama,Female,55,English,Married,Middle,Lower class,1
2011,-4,US-AL Alabama,Female,62,English,Divorced,Higher,Lower class,1
2011,-4,US-AL Alabama,Female,64,English,Divorced,Middle,Upper middle class,1
2011,-4,US-AL Alabama,Female,65,English,Married,Middle,Lower middle class,1
2011,-4,US-AL Alabama,Female,72,English,Widowed,Higher,Upper middle class,1
2011,-4,US-AL Alabama,Male,24,English,Single,Higher,Lower middle class,1
2011,-4,US-AL Alabama,Male,25,Other,Single,Higher,Working class,1
2011,-4,US-AL Alabama,Male,34,English,Living together as married,Higher,Working class,1
2011,-4,US-AL Alabama,Male,36,English,Married,Higher,Upper middle class,1
2011,-4,US-AL Alabama,Male,39,English,Married,Middle,Lower class,1
2011,-4,US-AL Alabama,Male,44,English,Married,Higher,Working class,1
2011,-4,US-AL Alabama,Male,47,English,Married,Higher,Lower middle class,1
2011,-4,US-AL Alabama,Male,50,English,Married,Middle,Lower middle class,1
2011,-4,US-AL Alabama,Male,51,English,Married,Middle,Working class,1
2011,-4,US-AL Alabama,Male,54,English,Married,Middle,Working class,1
2011,-4,US-AL Alabama,Male,57,English,Married,Middle,Upper middle class,1
2011,-4,US-AL Alabama,Male,58,English,Married,Higher,Upper middle class,1
2011,-4,US-AL Alabama,Male,63,English,Married,Lower,Working class,1
2011,-4,US-AL Alabama,Male,64,English,Married,Middle,Lower class,1
2011,-4,US-AL Alabama,Male,68,English,Married,Middle,Working class,1
2011,-4,US-AL Alabama,Male,71,English,Married,Higher,Lower middle class,1
2011,-4,US-AR Arkansas,Female,35,English,Married,Higher,Upper class,1
2011,-4,US-AR Arkansas,Female,54,English,Married,Higher,Lower middle class,1
2011,-4,US-AR Arkansas,Female,54,English,Married,Higher,Working class,1
2011,-4,US-AR Arkansas,Female,57,English,Married,Middle,Lower middle class,1
2011,-4,US-AR Arkansas,Female,60,English,Widowed,Middle,Working class,1
2011,-4,US-AR Arkansas,Female,68,English,Divorced,Higher,Lower middle class,1
2011,-4,US-AR Arkansas,Male,22,No answer,Single,Higher,No answer,1
2011,-4,US-AR Arkansas,Male,37,English,Married,Middle,Lower middle class,1
2011,-4,US-AR Arkansas,Male,38,English,Married,Higher,Upper middle class,1
2011,-4,US-AR Arkansas,Male,38,No answer,Divorced,Higher,No answer,1
2011,-4,US-AR Arkansas,Male,40,English,Married,Middle,Upper middle class,1
2011,-4,US-AR Arkansas,Male,43,English,Married,Higher,Lower middle class,1
2011,-4,US-AR Arkansas,Male,55,English,Divorced,Higher,Lower class,1
2011,-4,US-AR Arkansas,Male,56,English,Married,Middle,Working class,1
2011,-4,US-AR Arkansas,Male,65,English,Married,Middle,Lower middle class,1
2011,-4,US-AR Arkansas,Male,71,English,Divorced,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,20,English,Single,Middle,Upper middle class,1
2011,-4,US-AZ Arizona,Female,20,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,21,English,Single,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,22,No answer,Single,Middle,No answer,1
2011,-4,US-AZ Arizona,Female,25,English,Living together as married,Higher,Working class,1
2011,-4,US-AZ Arizona,Female,26,English,Married,Higher,Upper class,1
2011,-4,US-AZ Arizona,Female,29,English,Married,Higher,Lower class,1
2011,-4,US-AZ Arizona,Female,30,English,Living together as married,Higher,Working class,1
2011,-4,US-AZ Arizona,Female,31,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,35,English,Divorced,Higher,Working class,1
2011,-4,US-AZ Arizona,Female,36,Spanish; Castilian,Living together as married,Middle,No answer,1
2011,-4,US-AZ Arizona,Female,37,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Female,38,English,Living together as married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Female,41,English,Married,Middle,Upper middle class,1
2011,-4,US-AZ Arizona,Female,42,English,Living together as married,Higher,Working class,1
2011,-4,US-AZ Arizona,Female,43,English,Married,Middle,Upper middle class,1
2011,-4,US-AZ Arizona,Female,46,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-AZ Arizona,Female,48,English,Married,Middle,Working class,1
2011,-4,US-AZ Arizona,Female,53,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Female,56,Spanish; Castilian,Married,Middle,Working class,1
2011,-4,US-AZ Arizona,Female,60,English,Divorced,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,62,English,Divorced,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Female,65,English,Divorced,Higher,Working class,1
2011,-4,US-AZ Arizona,Female,66,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Female,67,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Female,69,English,Married,Middle,Working class,1
2011,-4,US-AZ Arizona,Male,19,Spanish; Castilian,Single,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Male,20,English,Single,Higher,Working class,1
2011,-4,US-AZ Arizona,Male,21,English,Married,Higher,Working class,1
2011,-4,US-AZ Arizona,Male,26,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,33,Spanish; Castilian,Divorced,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Male,35,English,Living together as married,Middle,Working class,1
2011,-4,US-AZ Arizona,Male,41,English,Married,Higher,Lower class,1
2011,-4,US-AZ Arizona,Male,42,English,Divorced,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Male,42,English,Single,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Male,43,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Male,43,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,48,English,Married,Higher,Working class,1
2011,-4,US-AZ Arizona,Male,49,English,Married,Middle,Upper middle class,1
2011,-4,US-AZ Arizona,Male,54,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,58,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,59,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,61,English,Married,Higher,Upper middle class,2
2011,-4,US-AZ Arizona,Male,65,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Male,66,English,Widowed,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,69,English,Married,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Male,71,English,Married,Higher,Lower middle class,1
2011,-4,US-AZ Arizona,Male,74,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,79,English,Widowed,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,80,English,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,81,English,Married,Middle,Lower middle class,1
2011,-4,US-AZ Arizona,Male,81,English,Widowed,Middle,Upper middle class,1
2011,-4,US-AZ Arizona,Male,83,Standard Chinese; Mandarin; Putonghua; Guoyu,Married,Higher,Upper middle class,1
2011,-4,US-AZ Arizona,Male,88,English,Widowed,Higher,Upper middle class,1
2011,-4,US-CA California,Female,19,English,Single,Higher,Lower middle class,1
2011,-4,US-CA California,Female,19,English,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Female,19,English,Single,Middle,Upper middle class,1
2011,-4,US-CA California,Female,20,English,Single,Middle,Working class,1
2011,-4,US-CA California,Female,22,English,Single,Higher,Working class,1
2011,-4,US-CA California,Female,22,English,Single,Middle,Lower class,1
2011,-4,US-CA California,Female,22,English,Single,Middle,Lower middle class,1
2011,-4,US-CA California,Female,23,English,Married,Higher,Lower class,1
2011,-4,US-CA California,Female,23,English,Single,Higher,Lower middle class,2
2011,-4,US-CA California,Female,23,English,Single,Higher,Working class,1
2011,-4,US-CA California,Female,24,English,Living together as married,Middle,Working class,1
2011,-4,US-CA California,Female,24,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,25,English,Married,Higher,Lower middle class,1
2011,-4,US-CA California,Female,25,English,Single,Higher,Upper middle class,1
2011,-4,US-CA California,Female,26,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,27,English,Living together as married,Higher,Lower class,1
2011,-4,US-CA California,Female,27,No answer,Separated,Middle,No answer,1
2011,-4,US-CA California,Female,28,Spanish; Castilian,Married,Middle,Lower middle class,1
2011,-4,US-CA California,Female,29,English,Living together as married,Middle,Working class,1
2011,-4,US-CA California,Female,31,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,31,Standard Chinese; Mandarin; Putonghua; Guoyu,Living together as married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,32,English,Living together as married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,32,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,32,English,Single,Middle,Working class,1
2011,-4,US-CA California,Female,33,English,Married,Higher,Upper middle class,1
2011,-4,US-CA California,Female,34,English,Married,Higher,Lower middle class,1
