A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2017,United States,US-AL Alabama,Rural,Male,35-44,English,Single,Higher,Working class,1
2017,United States,US-AL Alabama,Urban,Female,16-24,English,Married,Higher,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Female,16-24,English,Single,Middle,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Female,16-24,English,Single,Middle,No answer,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Living together as married,Higher,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Living together as married,Middle,Working class,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Married,Higher,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Married,Middle,Working class,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Single,Middle,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Female,25-34,English,Single,Middle,Upper class,1
2017,United States,US-AL Alabama,Urban,Female,35-44,English,Separated,Middle,Lower class,1
2017,United States,US-AL Alabama,Urban,Female,45-54,English,Married,Middle,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Female,45-54,English,Separated,Middle,Working class,1
2017,United States,US-AL Alabama,Urban,Female,65 and more years,English,Widowed,Middle,Working class,1
2017,United States,US-AL Alabama,Urban,Male,16-24,English,Single,Middle,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Male,25-34,English,Living together as married,Higher,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Male,25-34,English,Living together as married,Higher,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Male,25-34,English,Married,Higher,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Male,25-34,English,Married,No answer,No answer,1
2017,United States,US-AL Alabama,Urban,Male,25-34,English,Single,Middle,Lower class,1
2017,United States,US-AL Alabama,Urban,Male,35-44,English,Single,Higher,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Male,45-54,English,Divorced,Higher,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Male,45-54,English,Living together as married,Middle,Working class,1
2017,United States,US-AL Alabama,Urban,Male,55-64,English,Divorced,No answer,Working class,1
2017,United States,US-AL Alabama,Urban,Male,55-64,English,Married,Higher,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Male,55-64,English,Married,Middle,Lower middle class,1
2017,United States,US-AL Alabama,Urban,Male,55-64,English,Married,Middle,Upper middle class,1
2017,United States,US-AL Alabama,Urban,Male,65 and more years,English,Married,Middle,Working class,1
2017,United States,US-AR Arkansas,Rural,Female,25-34,English,Married,Middle,Working class,1
2017,United States,US-AR Arkansas,Rural,Female,35-44,English,Married,Middle,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Female,45-54,English,Widowed,Middle,Working class,1
2017,United States,US-AR Arkansas,Rural,Female,55-64,English,Married,Middle,Working class,1
2017,United States,US-AR Arkansas,Rural,Male,25-34,English,Single,Higher,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Male,25-34,English,Single,Middle,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Male,55-64,English,Married,Higher,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Male,55-64,English,Married,Middle,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Male,55-64,English,Single,Middle,Working class,1
2017,United States,US-AR Arkansas,Rural,Male,65 and more years,English,Married,Higher,Lower middle class,1
2017,United States,US-AR Arkansas,Rural,Male,65 and more years,English,Single,Higher,Upper middle class,1
2017,United States,US-AZ Arizona,Urban,Female,16-24,English,Married,Middle,Lower middle class,1
2017,United States,US-AZ Arizona,Urban,Female,16-24,English,Single,Higher,Lower class,1
2017,United States,US-AZ Arizona,Urban,Female,16-24,English,Single,Middle,Lower middle class,1
2017,United States,US-AZ Arizona,Urban,Female,16-24,English,Single,Middle,Upper middle class,1
2017,United States,US-AZ Arizona,Urban,Female,16-24,Spanish; Castilian,Single,Middle,Lower middle class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Divorced,Higher,Upper class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Married,Higher,Upper middle class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Married,Middle,Lower middle class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Married,Middle,Upper middle class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Single,Higher,Lower middle class,2
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Single,Middle,Lower middle class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,English,Single,Middle,Working class,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,No answer,Married,No answer,No answer,1
2017,United States,US-AZ Arizona,Urban,Female,25-34,Spanish; Castilian,Single,Higher,Lower middle class,1
