V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,G_TOWNSIZE2: Settlement size_5 groups,V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252: Social class (subjective),Counts
2006,-4,IN-AP Andhra Pradesh,100000-500000,Female,25-34,Urdu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Female,35-44,Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,15-24,Urdu,Single/Never married,Higher,Lower middle class,2
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,15-24,Urdu,Single/Never married,Higher,Upper middle class,3
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,25-34,Urdu,Married,Higher,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,35-44,Urdu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,45-54,Urdu,Married,Middle,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,55-64,Telugu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,55-64,Urdu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,100000-500000,Male,55-64,Urdu,Married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,20000-100000,Female,"65 and more years""",Telugu,Married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,15-24,Telugu,Living together as married,Higher,Upper class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,15-24,Telugu,Married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,15-24,Telugu,Married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,25-34,Telugu,Married,Lower,Don´t know,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,25-34,Telugu,Married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,35-44,Telugu,Married,Lower,Don´t know,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,35-44,Telugu,Married,Lower,Upper middle class,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,35-44,Telugu,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,45-54,Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,45-54,Telugu,Married,Lower,Upper middle class,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,55-64,Telugu,Married,Lower,Don´t know,3
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,55-64,Telugu,Married,Lower,Lower middle class,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,55-64,Telugu,Married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Female,"65 and more years""",Telugu,Married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,15-24,Telugu,Living together as married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,15-24,Telugu,Living together as married,Middle,Working class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,15-24,Telugu,Married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,15-24,Telugu,Single/Never married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,25-34,Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,25-34,Telugu,Married,Lower,Lower middle class,3
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,25-34,Telugu,Married,Lower,Upper class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,25-34,Telugu,Married,Lower,Upper middle class,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,25-34,Telugu,Married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,35-44,Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,35-44,Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,35-44,Telugu,Married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,55-64,Telugu,Married,Lower,Upper middle class,2
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,"65 and more years""",Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,"65 and more years""",Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,5000-20000,Male,"65 and more years""",Telugu,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,No answer; Missing,Male,25-34,Telugu,Married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,No answer; Missing,Male,35-44,Bengali; Bangla,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,15-24,Telugu,Married,Don´t know,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,15-24,Telugu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Other,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Living together as married,Lower,Don´t know,3
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Living together as married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Married,Higher,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Married,Lower,Don´t know,2
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Telugu,Married,Middle,Upper middle class,3
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,25-34,Urdu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,35-44,Other,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,35-44,Other,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,35-44,Telugu,Living together as married,Lower,Don´t know,3
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,35-44,Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,35-44,Telugu,Married,Lower,Working class,2
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,45-54,Other,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,45-54,Telugu,Living together as married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,45-54,Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,55-64,Telugu,Living together as married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,55-64,Telugu,Married,Don´t know,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,55-64,Telugu,Married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,55-64,Urdu,Living together as married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,"65 and more years""",Telugu,Living together as married,Lower,Don´t know,2
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,"65 and more years""",Telugu,Living together as married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Female,"65 and more years""",Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,15-24,Telugu,Living together as married,Higher,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,15-24,Telugu,Living together as married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,15-24,Telugu,Single/Never married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Other,Married,Higher,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Other,Married,Higher,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Living together as married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Higher,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Higher,Lower middle class,3
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Higher,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Telugu,Married,Middle,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Urdu,Living together as married,Don´t know,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Urdu,Living together as married,Lower,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,25-34,Urdu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Living together as married,Higher,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Living together as married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Married,Higher,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Married,Lower,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,35-44,Telugu,Married,Middle,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Other,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Other,Married,Lower,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Don´t know,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Higher,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Lower,Don´t know,2
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Middle,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Middle,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Living together as married,Middle,Working class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Married,Lower,Lower middle class,4
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Married,Lower,Upper middle class,2
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Married,Lower,Working class,3
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Telugu,Married,Middle,Upper class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,45-54,Urdu,Living together as married,Middle,Upper middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,55-64,Sindhi,Married,Lower,Don´t know,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,55-64,Telugu,Living together as married,Lower,Lower middle class,1
2006,-4,IN-AP Andhra Pradesh,"Under 5,000",Male,55-64,Telugu,Married,Don´t know,Don´t know,1
