A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Married,Lower,Working class,1
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Married,Middle,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Married,Middle,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Higher,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Higher,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Middle,Lower middle class,9
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Middle,Upper middle class,2
2023,India,IN-BR Bihar,Rural,Female,16-24,"Punjabi, Panjabi",Single,Lower,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Higher,Lower middle class,5
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Lower,Upper class,1
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Middle,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Middle,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Middle,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Single,Higher,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Higher,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Higher,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Lower,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Lower,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Lower,Upper middle class,2
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Middle,Lower middle class,2
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Middle,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,35-44,Hindi,Married,Middle,Working class,1
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Higher,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Higher,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Lower,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Lower,Lower middle class,2
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Lower,Working class,2
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Middle,Working class,1
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Married,Lower,Lower class,1
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Married,Lower,Lower middle class,3
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Married,Lower,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Married,Middle,Lower middle class,2
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Married,Middle,Working class,1
2023,India,IN-BR Bihar,Rural,Female,55-64,Hindi,Widowed,Lower,Working class,1
2023,India,IN-BR Bihar,Rural,Female,65 and more years,Hindi,Married,Lower,Lower middle class,1
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Don't know,Lower,Upper class,1
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Married,Higher,Upper middle class,1
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Married,Lower,Upper class,1
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Married,Middle,Lower middle class,3
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Single,Higher,Lower middle class,3
