A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,মহিলা,১৬-২৪,না,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,মহিলা,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৯
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,মহিলা,২৫-৩৪,না,বিবাহিত,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,মহিলা,৪৫-৫৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,১৬
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,২৫-৩৪,না,বিবাহিত,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৭
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,২৫-৩৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,২৫-৩৪,না,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,৩৫-৪৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,৪৫-৫৪,না,বিবাহিত,নিম্ন,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,৪৫-৫৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,গ্রামীণ,পুরুষ,৫৫-৬৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,বিহারের আইএন-বিআর,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৬
২০২৩,ভারত,দিল্লি-আইএন,গ্রামীণ,মহিলা,১৬-২৪,না,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,দিল্লিতে,শহুরে,মহিলা,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,মহিলা,১৬-২৪,না,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,দিল্লিতে,শহুরে,মহিলা,২৫-৩৪,না,বিবাহিত,উচ্চতর,উচ্চ মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,১৬-২৪,না,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,দিল্লিতে,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৬
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,উচ্চ মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,১৬-২৪,না,একক,মাঝখানে,শ্রমিক শ্রেণী,৫
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,৩৫-৪৪,না,বিবাহিত হিসেবে একসাথে বসবাস,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,৩৫-৪৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,দিল্লি-আইএন,শহুরে,পুরুষ,৫৫-৬৪,না,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-এইচআর হরিয়ানা,গ্রামীণ,মহিলা,১৬-২৪,না,একক,উচ্চতর,নিম্ন মধ্যবিত্ত শ্রেণী,৫
২০২৩,ভারত,আইএন-এইচআর হরিয়ানা,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
২০২৩,ভারত,আইএন-এইচআর হরিয়ানা,গ্রামীণ,পুরুষ,১৬-২৪,না,একক,মাঝখানে,শ্রমিক শ্রেণী,৪
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,মহিলা,১৬-২৪,মারাঠি,একক,উচ্চতর,নিম্ন শ্রেণীর,৪
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,মহিলা,১৬-২৪,মারাঠি,একক,মাঝখানে,নিম্ন শ্রেণীর,৪
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,মহিলা,১৬-২৪,মারাঠি,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৭
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,পুরুষ,১৬-২৪,মারাঠি,একক,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৮
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,পুরুষ,১৬-২৪,মারাঠি,একক,মাঝখানে,শ্রমিক শ্রেণী,৪
২০২৩,ভারত,আইএন-এমএইচ মহারাষ্ট্র,গ্রামীণ,পুরুষ,৩৫-৪৪,মারাঠি,বিবাহিত,মাঝখানে,নিম্ন মধ্যবিত্ত শ্রেণী,৪
