A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Higher,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Female,16-24,Hindi,Single,Middle,Lower middle class,9
2023,India,IN-BR Bihar,Rural,Female,25-34,Hindi,Married,Higher,Lower middle class,5
2023,India,IN-BR Bihar,Rural,Female,45-54,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Single,Middle,Lower middle class,16
2023,India,IN-BR Bihar,Rural,Male,16-24,Hindi,Single,Middle,Upper middle class,4
2023,India,IN-BR Bihar,Rural,Male,25-34,Hindi,Married,Higher,Lower middle class,7
2023,India,IN-BR Bihar,Rural,Male,25-34,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Male,25-34,Hindi,Single,Higher,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Male,35-44,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Male,45-54,Hindi,Married,Lower,Upper middle class,4
2023,India,IN-BR Bihar,Rural,Male,45-54,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Rural,Male,55-64,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-BR Bihar,Urban,Male,16-24,Hindi,Single,Middle,Upper middle class,6
2023,India,IN-DL Delhi,Rural,Female,16-24,Hindi,Single,Middle,Upper middle class,5
2023,India,IN-DL Delhi,Urban,Female,16-24,Hindi,Single,Middle,Lower middle class,4
2023,India,IN-DL Delhi,Urban,Female,16-24,Hindi,Single,Middle,Upper middle class,5
2023,India,IN-DL Delhi,Urban,Female,25-34,Hindi,Married,Higher,Upper middle class,4
2023,India,IN-DL Delhi,Urban,Male,16-24,Hindi,Single,Higher,Lower middle class,4
2023,India,IN-DL Delhi,Urban,Male,16-24,Hindi,Single,Middle,Lower middle class,6
2023,India,IN-DL Delhi,Urban,Male,16-24,Hindi,Single,Middle,Upper middle class,5
2023,India,IN-DL Delhi,Urban,Male,16-24,Hindi,Single,Middle,Working class,5
2023,India,IN-DL Delhi,Urban,Male,35-44,Hindi,Living together as married,Middle,Lower middle class,4
2023,India,IN-DL Delhi,Urban,Male,35-44,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-DL Delhi,Urban,Male,55-64,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-HR Haryana,Rural,Female,16-24,Hindi,Single,Higher,Lower middle class,5
2023,India,IN-HR Haryana,Rural,Male,16-24,Hindi,Single,Middle,Lower middle class,4
2023,India,IN-HR Haryana,Rural,Male,16-24,Hindi,Single,Middle,Working class,4
2023,India,IN-MH Maharashtra,Rural,Female,16-24,Marathi,Single,Higher,Lower class,4
2023,India,IN-MH Maharashtra,Rural,Female,16-24,Marathi,Single,Middle,Lower class,4
2023,India,IN-MH Maharashtra,Rural,Female,16-24,Marathi,Single,Middle,Lower middle class,7
2023,India,IN-MH Maharashtra,Rural,Male,16-24,Marathi,Single,Middle,Lower middle class,8
2023,India,IN-MH Maharashtra,Rural,Male,16-24,Marathi,Single,Middle,Working class,4
2023,India,IN-MH Maharashtra,Rural,Male,35-44,Marathi,Married,Middle,Lower middle class,4
2023,India,IN-PB Punjab,Urban,Female,16-24,"Punjabi, Panjabi",Single,Higher,Upper middle class,4
2023,India,IN-PB Punjab,Urban,Female,16-24,"Punjabi, Panjabi",Single,Middle,Lower middle class,5
2023,India,IN-PB Punjab,Urban,Male,16-24,"Punjabi, Panjabi",Single,Middle,Lower middle class,5
2023,India,IN-PB Punjab,Urban,Male,35-44,"Punjabi, Panjabi",Married,Middle,Lower middle class,5
2023,India,IN-TG Telangana,Rural,Female,16-24,Telugu,Single,Middle,Lower middle class,8
2023,India,IN-TG Telangana,Rural,Female,16-24,Telugu,Single,Middle,Upper middle class,4
2023,India,IN-TG Telangana,Rural,Male,16-24,Telugu,Single,Higher,Lower middle class,4
2023,India,IN-TG Telangana,Rural,Male,16-24,Telugu,Single,Middle,Lower middle class,7
2023,India,IN-TG Telangana,Rural,Male,16-24,Telugu,Single,Middle,Working class,5
2023,India,IN-TG Telangana,Rural,Male,25-34,Telugu,Married,Higher,Lower middle class,4
2023,India,IN-TG Telangana,Rural,Male,25-34,Telugu,Married,Middle,Lower middle class,4
2023,India,IN-TG Telangana,Rural,Male,35-44,Telugu,Married,Lower,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Rural,Female,16-24,Hindi,Single,Middle,Working class,4
2023,India,IN-UP Uttar Pradesh,Rural,Female,35-44,Hindi,Married,Lower,Working class,7
2023,India,IN-UP Uttar Pradesh,Rural,Female,45-54,Hindi,Married,Lower,Working class,5
2023,India,IN-UP Uttar Pradesh,Rural,Male,16-24,Hindi,Single,Higher,Working class,5
2023,India,IN-UP Uttar Pradesh,Rural,Male,16-24,Hindi,Single,Lower,Working class,10
2023,India,IN-UP Uttar Pradesh,Rural,Male,16-24,Hindi,Single,Middle,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Rural,Male,16-24,Hindi,Single,Middle,Working class,11
2023,India,IN-UP Uttar Pradesh,Rural,Male,25-34,Hindi,Married,Middle,Lower middle class,5
2023,India,IN-UP Uttar Pradesh,Rural,Male,25-34,Hindi,Married,Middle,Working class,5
2023,India,IN-UP Uttar Pradesh,Rural,Male,35-44,Hindi,Married,Lower,Working class,7
2023,India,IN-UP Uttar Pradesh,Rural,Male,35-44,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Rural,Male,45-54,Hindi,Married,Middle,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Rural,Male,45-54,Hindi,Married,Middle,Upper middle class,4
2023,India,IN-UP Uttar Pradesh,Rural,Male,45-54,Hindi,Married,Middle,Working class,5
2023,India,IN-UP Uttar Pradesh,Rural,Male,55-64,Hindi,Married,Lower,Working class,4
2023,India,IN-UP Uttar Pradesh,Urban,Female,16-24,Hindi,Single,Middle,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Urban,Male,16-24,Hindi,Single,Higher,Lower middle class,4
2023,India,IN-UP Uttar Pradesh,Urban,Male,16-24,Hindi,Single,Lower,Lower class,4
2023,India,IN-UP Uttar Pradesh,Urban,Male,16-24,Hindi,Single,Middle,Lower class,5
2023,India,IN-UP Uttar Pradesh,Urban,Male,16-24,Hindi,Single,Middle,Lower middle class,5
2023,India,IN-UP Uttar Pradesh,Urban,Male,16-24,Hindi,Single,Middle,Working class,8
2023,India,IN-UP Uttar Pradesh,Urban,Male,35-44,Hindi,Married,Middle,Lower middle class,4
