A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2023,भारत,IN-BR बिहार,ग्रामीण,महिला,16-24,नहीं,अकेला,उच्च,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,महिला,16-24,नहीं,अकेला,मध्य,निम्न मध्यम वर्ग,9
2023,भारत,IN-BR बिहार,ग्रामीण,महिला,25-34,नहीं,विवाहित,उच्च,निम्न मध्यम वर्ग,5
2023,भारत,IN-BR बिहार,ग्रामीण,महिला,45-54,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,16-24,नहीं,अकेला,मध्य,निम्न मध्यम वर्ग,16
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,16-24,नहीं,अकेला,मध्य,ऊपरी मध्य वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,25-34,नहीं,विवाहित,उच्च,निम्न मध्यम वर्ग,7
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,25-34,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,25-34,नहीं,अकेला,उच्च,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,35-44,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,45-54,नहीं,विवाहित,निचला,ऊपरी मध्य वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,45-54,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,ग्रामीण,पुरुष,55-64,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-BR बिहार,शहरी,पुरुष,16-24,नहीं,अकेला,मध्य,ऊपरी मध्य वर्ग,6
2023,भारत,IN-DL दिल्ली,ग्रामीण,महिला,16-24,नहीं,अकेला,मध्य,ऊपरी मध्य वर्ग,5
2023,भारत,IN-DL दिल्ली,शहरी,महिला,16-24,नहीं,अकेला,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-DL दिल्ली,शहरी,महिला,16-24,नहीं,अकेला,मध्य,ऊपरी मध्य वर्ग,5
2023,भारत,IN-DL दिल्ली,शहरी,महिला,25-34,नहीं,विवाहित,उच्च,ऊपरी मध्य वर्ग,4
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,16-24,नहीं,अकेला,उच्च,निम्न मध्यम वर्ग,4
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,16-24,नहीं,अकेला,मध्य,निम्न मध्यम वर्ग,6
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,16-24,नहीं,अकेला,मध्य,ऊपरी मध्य वर्ग,5
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,16-24,नहीं,अकेला,मध्य,श्रमिक वर्ग,5
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,35-44,नहीं,विवाहित की तरह साथ रहना,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,35-44,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-DL दिल्ली,शहरी,पुरुष,55-64,नहीं,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-HR हरियाणा,ग्रामीण,महिला,16-24,नहीं,अकेला,उच्च,निम्न मध्यम वर्ग,5
2023,भारत,IN-HR हरियाणा,ग्रामीण,पुरुष,16-24,नहीं,अकेला,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-HR हरियाणा,ग्रामीण,पुरुष,16-24,नहीं,अकेला,मध्य,श्रमिक वर्ग,4
2023,भारत,IN-MH Maharashtra,ग्रामीण,महिला,16-24,मराठी,अकेला,उच्च,निम्न वर्ग,4
2023,भारत,IN-MH Maharashtra,ग्रामीण,महिला,16-24,मराठी,अकेला,मध्य,निम्न वर्ग,4
2023,भारत,IN-MH Maharashtra,ग्रामीण,महिला,16-24,मराठी,अकेला,मध्य,निम्न मध्यम वर्ग,7
2023,भारत,IN-MH Maharashtra,ग्रामीण,पुरुष,16-24,मराठी,अकेला,मध्य,निम्न मध्यम वर्ग,8
2023,भारत,IN-MH Maharashtra,ग्रामीण,पुरुष,16-24,मराठी,अकेला,मध्य,श्रमिक वर्ग,4
2023,भारत,IN-MH Maharashtra,ग्रामीण,पुरुष,35-44,मराठी,विवाहित,मध्य,निम्न मध्यम वर्ग,4
2023,भारत,IN-PB पंजाब,शहरी,महिला,16-24,"Punjabi, Panjabi",अकेला,उच्च,ऊपरी मध्य वर्ग,4
2023,भारत,IN-PB पंजाब,शहरी,महिला,16-24,"Punjabi, Panjabi",अकेला,मध्य,निम्न मध्यम वर्ग,5
