V1: Wave,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,V257: Region where the interview was conducted,V255CS: Size of town (country specific),V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252: Social class (subjective),Counts
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,15-24,Japanese,Single/Never married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,15-24,Japanese,Single/Never married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,15-24,Japanese,Single/Never married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,35-44,Japanese,Married,Middle,Lower class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,35-44,Japanese,Married,Middle,Upper middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,45-54,Japanese,Married,Middle,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,45-54,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,55-64,Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Married,Middle,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Married,No answer,Lower class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Widowed,Lower,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Female,"65 and more years""",Japanese,Widowed,Middle,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,15-24,Japanese,Single/Never married,Higher,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Married,No answer,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,25-34,Japanese,Single/Never married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,35-44,Japanese,Divorced,Middle,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,35-44,Japanese,Married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,45-54,Japanese,Married,Higher,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,45-54,Japanese,Single/Never married,Middle,Lower class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,55-64,Japanese,Divorced,Higher,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,55-64,Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,55-64,Japanese,Married,Higher,Upper middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,55-64,Japanese,Widowed,No answer,Working class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,"65 and more years""",Japanese,Married,Higher,Lower middle class,1
2005-2009,-4,"JP: Chubu,Hokuriku","JP: 12 major large cities(i.e.Tokyo,Osaka,etc.)",Male,"65 and more years""",Japanese,Married,Middle,Lower middle class,2
