A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2019,Japan,JP-01 Hokkaido,Rural,Female,25-34,Japanese,Married,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Rural,Female,55-64,Japanese,Married,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Rural,Male,45-54,Japanese,Married,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Rural,Male,55-64,Japanese,Divorced,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Rural,Male,65 and more years,Japanese,Married,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,16-24,Japanese,Single,Higher,No answer,1
2019,Japan,JP-01 Hokkaido,Urban,Female,16-24,Japanese,Single,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,25-34,Japanese,Married,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,35-44,Japanese,Divorced,Higher,Upper middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,35-44,Japanese,Divorced,Middle,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,35-44,Japanese,Married,Higher,Don't know,1
2019,Japan,JP-01 Hokkaido,Urban,Female,35-44,Japanese,Married,Higher,Lower middle class,3
2019,Japan,JP-01 Hokkaido,Urban,Female,35-44,Japanese,Married,Higher,Upper middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,45-54,Japanese,Divorced,Lower,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,45-54,Japanese,Divorced,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,55-64,Japanese,Living together as married,Higher,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,55-64,Japanese,Married,Higher,Upper middle class,4
2019,Japan,JP-01 Hokkaido,Urban,Female,55-64,Japanese,Married,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,55-64,Japanese,Married,Middle,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Divorced,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Married,Higher,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Married,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Married,Lower,Don't know,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Married,Middle,Lower middle class,2
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Married,Middle,Working class,2
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Higher,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Middle,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Middle,Lower middle class,2
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Middle,Upper middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Female,65 and more years,Japanese,Widowed,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,16-24,Japanese,Single,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,25-34,Japanese,Single,Higher,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,35-44,Japanese,Divorced,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,35-44,Japanese,Married,Higher,Upper middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,35-44,Japanese,Married,Middle,Lower middle class,2
2019,Japan,JP-01 Hokkaido,Urban,Male,45-54,Japanese,Married,Higher,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,45-54,Japanese,Married,Middle,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,45-54,Japanese,Single,Higher,Working class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,45-54,Japanese,Single,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,55-64,Japanese,Married,Higher,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,55-64,Japanese,Married,Higher,Lower middle class,2
2019,Japan,JP-01 Hokkaido,Urban,Male,65 and more years,Japanese,Divorced,Lower,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,65 and more years,Japanese,Married,Middle,Don't know,1
2019,Japan,JP-01 Hokkaido,Urban,Male,65 and more years,Japanese,Married,Middle,Lower class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,65 and more years,Japanese,Married,Middle,Lower middle class,1
2019,Japan,JP-01 Hokkaido,Urban,Male,65 and more years,Japanese,Married,Middle,Upper middle class,1
