V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,V255CS: Size of town (country specific),V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V253R: Income level (Recoded),Counts
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Living together as married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Married,Higher,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Married,Higher,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Higher,Don´t know,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Higher,No answer,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Middle,Don´t know,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Middle,Medium,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,15-24,Russian,Single/Never married,Middle,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Kazakh,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Divorced,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Divorced,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Living together as married,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Living together as married,Middle,Medium,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Married,Middle,Medium,3
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,No answer,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Single/Never married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Single/Never married,Higher,Other missing,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,25-34,Russian,Single/Never married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Don´t know,Married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Divorced,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Divorced,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Living together as married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Living together as married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Married,Higher,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Married,Higher,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Married,Middle,High,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Married,Middle,Medium,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,35-44,Russian,Single/Never married,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Divorced,Middle,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Divorced,Middle,Medium,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Living together as married,Higher,Low,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Married,Middle,Don´t know,1
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Married,Middle,High,2
2006,-4,Missing,"RU: 100-249,9 Tsd.",Female,45-54,Russian,Married,Middle,Medium,5
