V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),G_TOWNSIZE2: Settlement size_5 groups,V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective)
2011,-4,Missing,"Under 5,000",Male,28,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,43,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,"Under 5,000",Female,18,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,47,Russian,Widowed,Higher,Working class
2011,-4,Missing,"Under 5,000",Female,41,Russian,Divorced,Middle,Lower class
2011,-4,Missing,"Under 5,000",Female,59,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,35,Russian,Single,Higher,Working class
2011,-4,Missing,"Under 5,000",Female,53,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,24,Russian,Living together as married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,41,Russian,Married,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,53,Russian,Married,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Female,63,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,51,Russian,Married,Higher,Lower middle class
2011,-4,Missing,"Under 5,000",Male,55,Russian,Married,Higher,Working class
2011,-4,Missing,"Under 5,000",Female,35,Russian,Divorced,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,47,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Male,45,Russian,Married,Higher,Working class
2011,-4,Missing,"Under 5,000",Female,62,Russian,Widowed,Middle,Lower middle class
2011,-4,Missing,"Under 5,000",Male,57,Russian,Married,Middle,Working class
2011,-4,Missing,"Under 5,000",Female,46,Russian,Widowed,Higher,Working class
2011,-4,Missing,20000-100000,Female,19,Russian,Single,Higher,Working class
2011,-4,Missing,20000-100000,Female,37,Russian,Separated,Higher,Working class
2011,-4,Missing,20000-100000,Male,33,Russian,Living together as married,Higher,Upper middle class
2011,-4,Missing,20000-100000,Female,18,Russian,Separated,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,18,Russian,Single,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,18,Russian,Single,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,19,Russian,Single,Higher,Lower middle class
2011,-4,Missing,20000-100000,Male,18,Russian,Separated,Higher,Working class
2011,-4,Missing,20000-100000,Male,26,Russian,Married,Middle,Don´t know
2011,-4,Missing,20000-100000,Female,26,Russian,Married,Higher,Don´t know
2011,-4,Missing,20000-100000,Female,18,Russian,Married,Higher,Upper middle class
2011,-4,Missing,20000-100000,Male,38,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,20000-100000,Male,21,Russian,Single,Higher,Upper middle class
2011,-4,Missing,20000-100000,Male,21,Russian,HT: Dropped out survey;SG: Missing; RU: Inappropriate response{Inappropriate},Higher,Lower middle class
2011,-4,Missing,20000-100000,Female,21,Russian,Single,Higher,Working class
2011,-4,Missing,20000-100000,Male,21,Russian,Single,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,49,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,40,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,54,Russian,Divorced,Higher,Lower class
2011,-4,Missing,500000 and more,Male,39,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,45,Russian,Married,Middle,Lower class
2011,-4,Missing,500000 and more,Female,70,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Female,37,Russian,Single,Middle,Lower class
2011,-4,Missing,500000 and more,Female,30,Russian,Divorced,Middle,Lower class
2011,-4,Missing,500000 and more,Male,45,Russian,Married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,20,Russian,Living together as married,Middle,Lower middle class
2011,-4,Missing,500000 and more,Female,69,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Female,82,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Male,86,Russian,Widowed,Middle,Lower class
2011,-4,Missing,500000 and more,Male,67,Russian,Married,Higher,Working class
2011,-4,Missing,500000 and more,Female,71,Russian,Widowed,Higher,Lower class
2011,-4,Missing,500000 and more,Female,88,Russian,Widowed,Middle,Working class
2011,-4,Missing,500000 and more,Female,50,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,61,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,500000 and more,Female,77,Russian,Widowed,Lower,Lower class
2011,-4,Missing,500000 and more,Female,18,Russian,Single,Middle,Working class
2011,-4,Missing,500000 and more,Female,37,Russian,Married,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,20,Russian,Single,Higher,Don´t know
2011,-4,Missing,500000 and more,Female,66,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,35,Russian,Divorced,Higher,Don´t know
2011,-4,Missing,500000 and more,Female,70,Russian,Widowed,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,43,Russian,Married,No answer,Don´t know
2011,-4,Missing,500000 and more,Female,44,Russian,Married,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,38,Russian,Married,Middle,Don´t know
2011,-4,Missing,500000 and more,Female,38,Russian,Living together as married,Higher,No answer
2011,-4,Missing,500000 and more,Female,37,Russian,Married,Middle,Don´t know
2011,-4,Missing,500000 and more,Male,39,Russian,Living together as married,Middle,Working class
2011,-4,Missing,500000 and more,Male,45,Russian,Married,Higher,Don´t know
2011,-4,Missing,500000 and more,Male,43,Russian,Single,Middle,No answer
2011,-4,Missing,500000 and more,Female,38,Russian,Divorced,Middle,Lower middle class
2011,-4,Missing,500000 and more,Male,37,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Female,42,Russian,Divorced,Higher,Lower middle class
2011,-4,Missing,500000 and more,Female,28,Russian,Married,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,25,Russian,Single,Higher,Upper middle class
2011,-4,Missing,500000 and more,Male,68,Russian,Married,Higher,Lower middle class
2011,-4,Missing,500000 and more,Male,40,Russian,Divorced,Middle,Upper middle class
2011,-4,Missing,500000 and more,Female,47,Russian,Married,Middle,Upper middle class
2011,-4,Missing,500000 and more,Female,40,Russian,Divorced,Middle,Lower middle class
