A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,25-34,Russian,Separated,Middle,Don't know,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,35-44,Russian,Divorced,Middle,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,45-54,Russian,Married,Higher,Lower middle class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,55-64,Russian,Divorced,Higher,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,55-64,Russian,Married,Higher,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,55-64,Russian,Widowed,Middle,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Female,65 and more years,Russian,Widowed,Lower,Working class,2
2017,Russia,RU-ALT Altayskiy kray,Rural,Male,25-34,Russian,Living together as married,Lower,Upper middle class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Male,35-44,Russian,Married,Middle,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Male,45-54,Russian,Living together as married,Middle,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Male,55-64,Russian,Married,Higher,Lower class,1
2017,Russia,RU-ALT Altayskiy kray,Rural,Male,55-64,Russian,Single,Higher,Lower middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Female,16-24,Russian,Single,Middle,Lower middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Female,35-44,Russian,Single,Higher,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Female,55-64,Russian,Married,Middle,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Female,65 and more years,Russian,Widowed,Lower,Working class,2
2017,Russia,RU-ALT Altayskiy kray,Urban,Female,65 and more years,Russian,Widowed,Middle,Lower middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,16-24,Russian,Single,Middle,Upper middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,25-34,Russian,Single,Higher,Upper middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,35-44,Russian,Married,Middle,Lower middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,45-54,Russian,Married,Higher,Upper middle class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,55-64,Russian,Married,Lower,Working class,1
2017,Russia,RU-ALT Altayskiy kray,Urban,Male,65 and more years,Russian,Married,Middle,Lower class,1
2017,Russia,RU-AMU Amurskaya area,Rural,Female,16-24,Russian,Married,Lower,Don't know,1
2017,Russia,RU-AMU Amurskaya area,Rural,Female,45-54,Russian,Married,Middle,Upper middle class,1
2017,Russia,RU-AMU Amurskaya area,Rural,Female,55-64,Russian,Widowed,Lower,Working class,1
2017,Russia,RU-AMU Amurskaya area,Rural,Male,55-64,Russian,Married,Lower,Working class,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,35-44,Russian,Divorced,Higher,Don't know,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,35-44,Russian,Married,Higher,Upper middle class,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,45-54,Russian,Married,Higher,Lower middle class,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,55-64,Russian,Married,Higher,Don't know,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,65 and more years,Russian,Widowed,Higher,Don't know,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Female,65 and more years,Russian,Widowed,Middle,Don't know,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,16-24,Russian,Single,Higher,Working class,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,25-34,Russian,Divorced,Higher,Don't know,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,35-44,Russian,Single,Higher,Working class,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,45-54,Russian,Married,Don't know,No answer,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,45-54,Russian,Widowed,Higher,No answer,1
2017,Russia,RU-ARK Arkhangel'skaja area,Urban,Male,55-64,Russian,Married,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,25-34,Russian,Married,Higher,Don't know,2
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,25-34,Russian,No answer,Higher,No answer,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,25-34,Russian,Separated,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,25-34,Russian,Single,Higher,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,35-44,Russian,Separated,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,45-54,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,45-54,Russian,Married,Higher,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,45-54,Russian,Married,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,55-64,Russian,Divorced,Higher,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,55-64,Russian,Married,Higher,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,55-64,Russian,Married,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,65 and more years,Russian,Divorced,Lower,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,65 and more years,Russian,Married,Lower,Lower class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,65 and more years,Russian,Married,Lower,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Female,65 and more years,Tatar,Married,Lower,Lower class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,16-24,Russian,Single,Middle,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,25-34,Russian,Living together as married,Higher,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,25-34,Russian,Married,Higher,Lower middle class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,25-34,Russian,Married,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,25-34,Russian,Single,Middle,Don't know,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,25-34,Russian,Single,Middle,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,35-44,Russian,Married,Don't know,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,45-54,Russian,Married,Higher,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,65 and more years,Russian,Married,Lower,Working class,1
2017,Russia,RU-AST Astrakhanskaya area,Rural,Male,65 and more years,Russian,Widowed,Lower,Working class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Female,25-34,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Female,25-34,Russian,Married,Higher,No answer,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Female,25-34,Russian,Married,Middle,No answer,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Female,45-54,Russian,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Female,65 and more years,Tatar,Widowed,Middle,Working class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,16-24,Russian,Married,Higher,Don't know,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,25-34,Russian,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,35-44,Tatar,Married,Higher,Don't know,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,45-54,Russian,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,45-54,Russian,Married,Higher,Working class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,55-64,Russian,Married,Higher,No answer,1
2017,Russia,"RU-BA Bashkortostan, Republic",Rural,Male,65 and more years,Russian,Married,Higher,Lower class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,16-24,Russian,Single,Middle,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,25-34,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,25-34,Russian,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,25-34,Russian,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,25-34,Russian,Single,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,35-44,Other,Married,Middle,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,35-44,Other,Single,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,35-44,Russian,Divorced,Higher,Lower middle class,2
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,35-44,Tatar,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Other,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Russian,Divorced,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Russian,Divorced,Middle,No answer,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Russian,Married,Higher,Lower middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Russian,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Tatar,Married,Higher,Lower middle class,2
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,45-54,Tatar,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,55-64,Other,Married,Lower,Working class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,55-64,Russian,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Female,55-64,Tatar,Married,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Male,16-24,Other,Single,Higher,Upper middle class,1
2017,Russia,"RU-BA Bashkortostan, Republic",Urban,Male,16-24,Russian,Single,Higher,Upper middle class,1
