A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_WVS: Region country specific,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2017,Russia,RU: Central Federal District,Rural,Female,16-24,Russian,Single,Higher,Don't know,1
2017,Russia,RU: Central Federal District,Rural,Female,16-24,Russian,Single,Higher,Working class,2
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Divorced,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Divorced,Middle,Lower class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Divorced,Middle,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Married,Higher,Don't know,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Married,Higher,Lower middle class,2
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Married,Higher,Upper middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Married,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Separated,Higher,Lower class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Single,Higher,Lower middle class,2
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Single,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,25-34,Russian,Single,Middle,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Divorced,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Divorced,Lower,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Living together as married,Middle,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Married,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Married,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Married,Middle,Working class,2
2017,Russia,RU: Central Federal District,Rural,Female,35-44,Russian,Single,Lower,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,45-54,Russian,Divorced,Higher,Don't know,1
2017,Russia,RU: Central Federal District,Rural,Female,45-54,Russian,Divorced,Higher,Upper middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,45-54,Russian,Separated,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,45-54,Russian,Widowed,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Other,Married,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Divorced,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Living together as married,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Married,Higher,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Married,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Married,Lower,Lower middle class,2
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Married,Middle,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Married,Middle,Working class,2
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Separated,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Widowed,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Widowed,Lower,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Widowed,Middle,Lower class,1
2017,Russia,RU: Central Federal District,Rural,Female,55-64,Russian,Widowed,Middle,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Married,Middle,Lower middle class,1
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Widowed,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Widowed,Lower,Lower class,4
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Widowed,Lower,Working class,3
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Widowed,Middle,Working class,3
2017,Russia,RU: Central Federal District,Rural,Male,16-24,Russian,Living together as married,Middle,Working class,1
2017,Russia,RU: Central Federal District,Rural,Male,16-24,Russian,Single,Higher,No answer,1
2017,Russia,RU: Central Federal District,Rural,Male,16-24,Russian,Single,Higher,Upper middle class,1
2017,Russia,RU: Central Federal District,Rural,Male,16-24,Russian,Single,Middle,Don't know,1
2017,Russia,RU: Central Federal District,Rural,Male,25-34,Russian,Living together as married,Higher,Working class,1
2017,Russia,RU: Central Federal District,Rural,Male,25-34,Russian,Married,Higher,Upper middle class,1
