V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,V235: Sex,V237R: Age recoded (6 intervals),LNG_NUM: Language in which interview was conducted,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252B: Social class (subjective) with 6 categories,Counts
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Higher,Lower middle class,3
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Higher,Middle middle class,3
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Higher,Working class,3
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Don´t know,2
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Lower class,8
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Lower middle class,2
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Middle middle class,1
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Upper class,1
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Lower,Working class,24
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Don´t know,2
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Lower class,10
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Lower middle class,9
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Middle middle class,15
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Upper middle class,3
2005,-4,Missing,Female,15-24,Spanish,Living together as married,Middle,Working class,24
2005,-4,Missing,Female,15-24,Spanish,Married,Higher,Middle middle class,2
2005,-4,Missing,Female,15-24,Spanish,Married,Higher,Working class,1
2005,-4,Missing,Female,15-24,Spanish,Married,Lower,Lower middle class,1
2005,-4,Missing,Female,15-24,Spanish,Married,Lower,Middle middle class,1
2005,-4,Missing,Female,15-24,Spanish,Married,Lower,Working class,1
2005,-4,Missing,Female,15-24,Spanish,Married,Middle,Lower class,2
2005,-4,Missing,Female,15-24,Spanish,Married,Middle,Lower middle class,2
2005,-4,Missing,Female,15-24,Spanish,Married,Middle,Middle middle class,4
2005,-4,Missing,Female,15-24,Spanish,Married,Middle,Working class,5
2005,-4,Missing,Female,15-24,Spanish,Separated,Middle,Lower middle class,1
2005,-4,Missing,Female,15-24,Spanish,Separated,Middle,Working class,2
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Lower class,3
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Lower middle class,10
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Middle middle class,31
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Upper class,1
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Upper middle class,5
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Higher,Working class,9
2005,-4,Missing,Female,15-24,Spanish,Single/Never married,Lower,Lower class,4
