V260: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region ISO,G_TOWNSIZE2: Settlement size_5 groups,V235: Sex,V237R: Age recoded (6 intervals),V222: Language at home,V55: Marital status,V238R: Highest educational level: Respondent (recoded into 3 groups),V252: Social class (subjective),Counts
2008,-4,EG-ALX Alexandria,100000-500000,Female,25-34,Arabic,Married,Lower,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,25-34,Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,25-34,Arabic,Married,Middle,Upper middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,25-34,Arabic,Married,Middle,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,25-34,Arabic,Single/Never married,Middle,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,35-44,Arabic,Married,Lower,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,35-44,Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,45-54,Arabic,Married,Higher,Upper middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,45-54,Arabic,Married,Lower,Lower class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,45-54,Arabic,Married,Lower,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,"65 and more years""",Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Female,"65 and more years""",Arabic,Widowed,Lower,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,15-24,Arabic,Single/Never married,Lower,Lower class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,15-24,Arabic,Single/Never married,Middle,Lower class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,15-24,Arabic,Single/Never married,Middle,Working class,2
2008,-4,EG-ALX Alexandria,100000-500000,Male,25-34,Arabic,Married,Lower,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,25-34,Arabic,Single/Never married,Higher,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,35-44,Arabic,Married,Middle,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,35-44,Arabic,Single/Never married,Middle,Lower class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,45-54,Arabic,Married,Higher,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,45-54,Arabic,Married,Lower,Lower class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,45-54,Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,55-64,Arabic,Married,Higher,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,55-64,Arabic,Married,Higher,Upper middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,55-64,Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,55-64,Arabic,Married,Middle,Working class,1
2008,-4,EG-ALX Alexandria,100000-500000,Male,"65 and more years""",Arabic,Married,Lower,Lower class,1
2008,-4,EG-ALX Alexandria,20000-100000,Female,25-34,Arabic,Married,Middle,Lower middle class,1
2008,-4,EG-ALX Alexandria,20000-100000,Female,25-34,Arabic,Married,Middle,Working class,1
2008,-4,EG-ALX Alexandria,20000-100000,Female,35-44,Arabic,Married,Lower,Lower class,2
2008,-4,EG-ALX Alexandria,20000-100000,Female,35-44,Arabic,Married,Lower,Working class,2
2008,-4,EG-ALX Alexandria,20000-100000,Female,35-44,Arabic,Married,Middle,Lower class,1
