V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,V256: Region where the interview was conducted,V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2013,-4,EG: Alexandria,Female,18,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Female,19,Arabic,Single,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,21,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,21,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,23,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,24,Arabic,Single,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,25,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,26,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,27,Arabic,Married,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,27,Arabic,Married,Higher,Upper middle class,1
2013,-4,EG: Alexandria,Female,29,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,32,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,32,Arabic,Single,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,34,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,35,Arabic,Married,Lower,Lower class,2
2013,-4,EG: Alexandria,Female,36,Arabic,Married,Higher,Upper class,1
2013,-4,EG: Alexandria,Female,36,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,36,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Female,37,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,38,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,39,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Female,40,Arabic,Married,Higher,Working class,1
2013,-4,EG: Alexandria,Female,40,Arabic,Married,Middle,Lower middle class,2
2013,-4,EG: Alexandria,Female,41,Arabic,Married,Middle,Upper middle class,1
2013,-4,EG: Alexandria,Female,42,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,42,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,42,Arabic,Married,Lower,Working class,1
2013,-4,EG: Alexandria,Female,43,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,44,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,45,Arabic,Married,Higher,Upper middle class,1
2013,-4,EG: Alexandria,Female,45,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Female,46,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Female,47,Arabic,Married,Higher,Upper middle class,1
2013,-4,EG: Alexandria,Female,48,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Female,50,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,50,Arabic,Widowed,Middle,Working class,1
2013,-4,EG: Alexandria,Female,51,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Female,52,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,52,Arabic,Married,Middle,Working class,2
2013,-4,EG: Alexandria,Female,53,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,53,Arabic,Widowed,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,54,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,55,Arabic,Widowed,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,58,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Female,60,Arabic,Widowed,Lower,Lower class,2
2013,-4,EG: Alexandria,Female,62,Arabic,Married,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,62,Arabic,Separated,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Female,62,Arabic,Widowed,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,62,Arabic,Widowed,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,63,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Alexandria,Female,65,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Alexandria,Female,66,Arabic,Divorced,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Female,68,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Alexandria,Female,70,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,70,Arabic,Widowed,Lower,Lower class,1
2013,-4,EG: Alexandria,Female,70,Arabic,Widowed,Middle,Working class,1
2013,-4,EG: Alexandria,Female,71,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Alexandria,Female,72,Arabic,Widowed,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Female,75,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Alexandria,Male,18,Arabic,Single,Lower,Working class,1
2013,-4,EG: Alexandria,Male,19,Arabic,Single,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Male,23,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Alexandria,Male,28,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Male,30,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Male,30,Arabic,Single,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,35,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,36,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,40,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Alexandria,Male,42,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Male,44,Arabic,Married,Higher,Upper middle class,1
2013,-4,EG: Alexandria,Male,48,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,48,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Male,48,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Male,52,Arabic,Married,Higher,Working class,2
2013,-4,EG: Alexandria,Male,53,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,53,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Male,53,Arabic,Single,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,56,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Alexandria,Male,60,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Male,61,Arabic,Married,Lower,Working class,1
2013,-4,EG: Alexandria,Male,61,Arabic,Married,Middle,Working class,1
2013,-4,EG: Alexandria,Male,63,Arabic,Married,Lower,Working class,1
2013,-4,EG: Alexandria,Male,64,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,68,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Alexandria,Male,68,Arabic,Married,Lower,Upper middle class,1
2013,-4,EG: Alexandria,Male,70,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Alexandria,Male,75,Arabic,Married,Lower,Working class,1
2013,-4,EG: Alexandria,Male,80,Arabic,Widowed,Lower,Working class,1
2013,-4,EG: Asyut,Female,18,Arabic,Married,Lower,Working class,1
2013,-4,EG: Asyut,Female,18,Arabic,Single,Lower,Working class,1
2013,-4,EG: Asyut,Female,18,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,19,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,19,Arabic,Single,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,20,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,20,Arabic,Single,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,20,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,21,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,21,Arabic,Married,Lower,Working class,1
2013,-4,EG: Asyut,Female,21,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Asyut,Female,22,Arabic,Married,Lower,Lower class,2
2013,-4,EG: Asyut,Female,22,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,22,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,22,Arabic,Single,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,22,Arabic,Single,Middle,Lower class,1
2013,-4,EG: Asyut,Female,23,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,23,Arabic,Married,Lower,Working class,1
2013,-4,EG: Asyut,Female,23,Arabic,Single,Higher,Upper middle class,1
2013,-4,EG: Asyut,Female,24,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,24,Arabic,Married,Middle,Working class,1
2013,-4,EG: Asyut,Female,24,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,25,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,25,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Asyut,Female,25,Arabic,Single,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,26,Arabic,Married,Lower,Lower class,2
2013,-4,EG: Asyut,Female,26,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,26,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,27,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,27,Arabic,Single,Lower,Lower class,1
2013,-4,EG: Asyut,Female,28,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,28,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,28,Arabic,Single,Higher,Lower middle class,1
2013,-4,EG: Asyut,Female,28,Arabic,Single,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,29,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Asyut,Female,29,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,29,Arabic,Married,Lower,Upper middle class,1
2013,-4,EG: Asyut,Female,29,Arabic,Married,Lower,Working class,1
2013,-4,EG: Asyut,Female,30,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,30,Arabic,Married,Middle,Lower class,1
2013,-4,EG: Asyut,Female,30,Arabic,Single,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,31,Arabic,Married,Lower,Lower middle class,2
2013,-4,EG: Asyut,Female,31,Arabic,Married,Middle,Lower middle class,1
2013,-4,EG: Asyut,Female,32,Arabic,Married,Lower,Lower class,1
2013,-4,EG: Asyut,Female,32,Arabic,Married,Lower,Lower middle class,1
2013,-4,EG: Asyut,Female,32,Arabic,Married,Lower,Working class,1
2013,-4,EG: Asyut,Female,32,Arabic,Married,Middle,Lower middle class,2
2013,-4,EG: Asyut,Female,33,Arabic,Married,Lower,Lower middle class,1
