A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Q2: Important in life: Friends,Q3: Important in life: Leisure time,Q4: Important in life: Politics,Q5: Important in life: Work,Q6: Important in life: Religion,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q20: Neighbors: People who have AIDS,Q21: Neighbors: Immigrants/foreign workers,Q22: Neighbors: Homosexuals,Q23: Neighbors: People of a different religion,Q24: Neighbors: Heavy drinkers,Q26: Neighbors: People who speak a different language,Q27: One of main goals in life has been to make my parents proud,Q29: Men make better political leaders than women do,Q30: University is more important for a boy than for a girl,Q31: Men make better business executives than women do,Q32: Being a housewife just as fulfilling,Q33: Jobs scarce: Men should have more right to a job than women,Q34: Jobs scarce: Employers should give priority to (nation) people than immigrants,Q43: Future changes: Less importance placed on work,Q44: Future changes: More emphasis on technology,Q45: Future changes: Greater respect for authority,Q58: Trust: Your family,Q59: Trust: Your neighborhood,Q60: Trust: People you know personally,Q61: Trust: People you meet for the first time,Q62: Trust: People of another religion,Q63: Trust: People of another nationality,Q64: Confidence: Churches,Q66: Confidence: The Press,Q67: Confidence: Television,Q68: Confidence: Labor Unions,Q72: Confidence: The Political Parties,Q73: Confidence: Parliament,Q74: Confidence: The Civil Services,Q77: Confidence: Major Companies,Q79: Confidence: The Environmental Protection Movement,Q80: Confidence: The Women's Movement,Q81: Confidence: Charitable or humanitarian organizations,Q83: Confidence: The United Nations (UN),Q106: Incomes should be made more equal vs There should be greater incentives for individual effort,Q107: Private vs state ownership of business,Q108: Government's vs individual's responsibility,Q109: Competition good or harmful,Q110: Success: hard work vs luck,Q111: Protecting environment vs. Economic growth,Q151: Willingness to fight for country,Q152: Aims of country: first choice,Q154: Aims of respondent: first choice,"Q158: Science and technology are making our lives healthier, easier, and more comfortable","Q159: Because of science and technology, there will be more opportunities for the next generation",Q160: We depend too much on science and not enough on faith,"Q163: The world is better off, or worse off, because of science and technology",Q164: Importance of God,Q177: Justifiable: Claiming government benefits to which you are not entitled,Q178: Justifiable: Avoiding a fare on public transport,Q180: Justifiable: Cheating on taxes,Q181: Justifiable: Someone accepting a bribe in the course of their duties,Q184: Justifiable: Abortion,Q185: Justifiable: Divorce,Q187: Justifiable: Suicide,Q189: Justifiable: For a man to beat his wife,Q235: Political system: Having a strong leader who does not have to bother with parliament and elections,"Q236: Political system: Having experts, not government, make decisions according to what they think is best for the country",Q238: Political system: Having a democratic political system,Q241: Democracy: Governments tax the rich and subsidize the poor,Q242: Democracy: Religious authorities interpret the laws,Q243: Democracy: People choose their leaders in free elections,Q244: Democracy: People receive state aid for unemployment,Q246: Democracy: Civil rights protect people’s liberty against oppression,Q249: Democracy: Women have the same rights as men,Q250: Importance of democracy,Q251: How democratically is this country being governed today,Q253: Respect for individual human rights nowadays,Q254: National pride
2018,Egypt,EG-FYM Faiyum,Rural,Male,45-54,Arabic,Married,Higher,Lower middle class,Very important,Not very important,Very important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Strongly disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Quite a lot,None at all,Not very much,Not very much,None at all,None at all,None at all,Quite a lot,Not very much,Not very much,A great deal,No answer,There should be greater incentives for individual effort,Government ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,3,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Fighting rising prices,8,Completely agree,7,A lot better off,Very important,Always justifiable,Never justifiable,9,2,Never justifiable,Always justifiable,Never justifiable,3,Very good,Very good,Very good,2,5,Not an essential characteristic of democracy,Not an essential characteristic of democracy,Not an essential characteristic of democracy,3,Absolutely important,3,No respect at all,Quite proud
2018,Egypt,EG-FYM Faiyum,Rural,Female,25-34,Arabic,Married,Middle,Lower middle class,Not very important,Not very important,Not very important,Not very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,Not very much,None at all,None at all,Don't know,None at all,None at all,None at all,None at all,None at all,None at all,A great deal,Don't know,9,9,3,2,8,Economy growth and creating jobs,Yes,A high level of economic growth,Protecting freedom of speech,3,5,9,4,Very important,5,3,7,3,3,8,Never justifiable,3,Fairly good,Fairly good,Fairly good,2,9,Not an essential characteristic of democracy,2,2,5,7,4,No respect at all,Quite proud
2018,Egypt,EG-FYM Faiyum,Rural,Female,25-34,Arabic,Married,Lower,Working class,Rather important,Rather important,Not very important,Not very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Disagree,Agree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Do not trust very much,Trust somewhat,Do not trust very much,Quite a lot,Not very much,Not very much,Don't know,Not very much,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Don't know,8,Government ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,5,3,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,7,8,Completely disagree,8,Very important,7,Never justifiable,Never justifiable,Never justifiable,Never justifiable,8,Never justifiable,5,Fairly good,Fairly good,Fairly good,An essential characteristic of democracy,5,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,8,Fairly much  respect,Very proud
2018,Egypt,EG-FYM Faiyum,Rural,Male,55-64,Arabic,Married,Higher,Working class,Very important,Rather important,Very important,Very important,Rather important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree,Neither agree nor disagree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Do not trust at all,Trust somewhat,Do not trust very much,Quite a lot,Quite a lot,A great deal,None at all,Not very much,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Quite a lot,Quite a lot,There should be greater incentives for individual effort,Government ownership of business should be increased,3,Competition is good,8,Protecting environment,Yes,Making sure this country has strong defence forces,Fighting rising prices,Completely agree,Completely agree,8,A lot better off,Very important,8,Never justifiable,Never justifiable,Never justifiable,Never justifiable,8,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly good,An essential characteristic of democracy,5,An essential characteristic of democracy,6,6,An essential characteristic of democracy,Absolutely important,6,Fairly much  respect,Very proud
2018,Egypt,EG-FYM Faiyum,Rural,Female,55-64,Arabic,Married,Lower,Lower class,Not very important,Not very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,No answer,Agree,Agree,Agree,Agree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust somewhat,Do not trust very much,A great deal,No answer,Not very much,No answer,No answer,Not very much,Not very much,Quite a lot,Don't know,Don't know,Quite a lot,No answer,4,Don't -9:-2,3,7,3,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Fighting rising prices,7,6,4,7,Very important,Never justifiable,3,3,Never justifiable,5,5,Never justifiable,3,Fairly Bad,Don't know,Fairly good,An essential characteristic of democracy,6,An essential characteristic of democracy,An essential characteristic of democracy,Don't know,An essential characteristic of democracy,Absolutely important,5,Fairly much  respect,Very proud
2018,Egypt,EG-FYM Faiyum,Rural,Male,45-54,Arabic,Married,Lower,Lower middle class,Rather important,Rather important,Very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree,Strongly disagree,Disagree,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Don't mind,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Trust completely,Do not trust very much,A great deal,None at all,Quite a lot,Don't know,None at all,Not very much,Not very much,Not very much,Not very much,Don't know,Quite a lot,None at all,There should be greater incentives for individual effort,Private ownership of business should be increased,7,Competition is good,"In the long run, hard work usually brings a better life",Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,9,9,5,9,Very important,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Never justifiable,5,Never justifiable,Never justifiable,Very bad,Fairly good,Fairly good,An essential characteristic of democracy,8,An essential characteristic of democracy,6,8,An essential characteristic of democracy,Absolutely important,Not at all democratic,No respect at all,Very proud
2018,Egypt,EG-FYM Faiyum,Rural,Male,45-54,Arabic,Married,Lower,Lower middle class,Very important,Not at all important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Do not trust at all,Trust completely,Trust somewhat,Quite a lot,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Don't know,Not very much,Not very much,Not very much,There should be greater incentives for individual effort,Government ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,Don't know,"In the long run, hard work usually brings a better life",Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,2,A lot worse off,Very important,2,Never justifiable,Never justifiable,Never justifiable,Never justifiable,7,Never justifiable,4,Very bad,Fairly bad,Very good,8,2,An essential characteristic of democracy,Don't know,Don't know,6,Absolutely important,8,Not much respect,Quite proud
2018,Egypt,EG-FYM Faiyum,Rural,Female,45-54,Arabic,Widowed,Lower,Working class,Very important,Not very important,Rather important,Not very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree,Agree,Agree strongly,Bad thing,Don't know,Good thing,Trust completely,Trust completely,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Quite a lot,Don't know,Don't know,Don't know,Don't know,Don't know,Not very much,Don't know,Don't know,Don't know,Not very much,Don't know,There should be greater incentives for individual effort,Don't -9:-2,3,Don't know,3,Don't know,Yes,Don't know,Maintaining order in the nation,7,Completely disagree,3,7,Very important,9,2,Never justifiable,Never justifiable,Never justifiable,6,Never justifiable,2,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,9,Don't know,Fairly much  respect,Very proud
2018,Egypt,EG-FYM Faiyum,Rural,Male,55-64,Arabic,Married,Lower,Lower middle class,Not at all important,Not at all important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree,Agree,Agree,Agree strongly,Don't know,Good thing,Good thing,Don't mind,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Trust somewhat,Do not trust at all,A great deal,Don't know,Not very much,Don't know,Don't know,Don't know,None at all,Don't know,Don't know,Don't know,Don't know,Don't know,2,9,5,Don't know,2,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,2,8,Very important,4,Never justifiable,Never justifiable,Never justifiable,Never justifiable,6,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly good,8,Don't know,An essential characteristic of democracy,7,Don't know,6,No answer,Don't know,Fairly much  respect,Quite proud
2018,Egypt,EG-FYM Faiyum,Rural,Female,55-64,Arabic,Widowed,Lower,Lower middle class,Rather important,Very important,Not at all important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Strongly disagree,Agree,Agree,Agree strongly,Agree strongly,Good thing,Good thing,Don't mind,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Trust somewhat,Do not trust at all,Quite a lot,None at all,None at all,Don't know,Don't know,Don't know,Not very much,Don't know,Don't know,Don't know,Quite a lot,Don't know,There should be greater incentives for individual effort,Don't -9:-2,The government should take more responsibility to ensure that everyone is provided for,Don't know,"In the long run, hard work usually brings a better life",Don't know,Yes,A high level of economic growth,Fighting rising prices,Completely agree,Completely agree,Completely disagree,A lot better off,Very important,Don't know,Never justifiable,Never justifiable,Never justifiable,Never justifiable,8,Never justifiable,3,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Absolutely important,Don't know,Don't know,Very proud
