A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2018,Egypt,EG-ALX Alexandria,Urban,Female,16-24,Arabic,Married,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,16-24,Arabic,Single,Middle,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,25-34,Arabic,Married,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,25-34,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,25-34,Arabic,Married,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,25-34,Arabic,Married,Middle,Working class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,25-34,Arabic,Single,Lower,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Married,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Married,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Married,Lower,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Married,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Single,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Single,Middle,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,35-44,Arabic,Widowed,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Divorced,Lower,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Married,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Married,Higher,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Married,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Married,Lower,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Separated,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,45-54,Arabic,Widowed,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,55-64,Arabic,Divorced,Middle,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,55-64,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,55-64,Arabic,Married,Lower,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,55-64,Arabic,Widowed,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,55-64,Arabic,Widowed,Middle,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Female,65 and more years,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Female,65 and more years,Arabic,Widowed,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,16-24,Arabic,Single,Higher,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,16-24,Arabic,Single,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,16-24,Arabic,Single,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,16-24,Arabic,Single,Middle,Lower middle class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,16-24,Arabic,Single,Middle,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Married,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Married,Higher,Working class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Separated,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Single,Higher,Working class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,25-34,Arabic,Single,Middle,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,35-44,Arabic,Married,Higher,Lower middle class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,35-44,Arabic,Married,Middle,Lower class,3
2018,Egypt,EG-ALX Alexandria,Urban,Male,35-44,Arabic,Single,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,45-54,Arabic,Divorced,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,45-54,Arabic,Married,Higher,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,45-54,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,45-54,Arabic,Married,Middle,Lower middle class,2
2018,Egypt,EG-ALX Alexandria,Urban,Male,55-64,Arabic,Married,Higher,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,55-64,Arabic,Married,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,55-64,Arabic,Married,Lower,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,55-64,Arabic,Separated,Higher,Lower middle class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,55-64,Arabic,Single,Lower,Lower class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,65 and more years,Arabic,Married,Higher,Working class,1
2018,Egypt,EG-ALX Alexandria,Urban,Male,65 and more years,Arabic,Married,Lower,Lower class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,16-24,Arabic,Married,Higher,Upper middle class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,16-24,Arabic,Married,Lower,Lower middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,16-24,Arabic,Married,Middle,Lower middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,16-24,Arabic,Single,Lower,Working class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,16-24,Arabic,Single,Middle,Working class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,25-34,Arabic,Married,Higher,Lower middle class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,25-34,Arabic,Married,Lower,Lower middle class,3
2018,Egypt,EG-ASN Aswan,Rural,Female,25-34,Arabic,Married,Middle,Lower middle class,3
2018,Egypt,EG-ASN Aswan,Rural,Female,25-34,Arabic,Married,Middle,Upper middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,25-34,Arabic,Married,Middle,Working class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Higher,Lower middle class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Lower,Lower middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Lower,Upper middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Lower,Working class,4
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Middle,Lower middle class,3
2018,Egypt,EG-ASN Aswan,Rural,Female,35-44,Arabic,Married,Middle,Working class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,45-54,Arabic,Married,Lower,Lower middle class,2
2018,Egypt,EG-ASN Aswan,Rural,Female,45-54,Arabic,Married,Lower,Working class,3
2018,Egypt,EG-ASN Aswan,Rural,Female,45-54,Arabic,Married,Middle,Lower middle class,1
2018,Egypt,EG-ASN Aswan,Rural,Female,45-54,Arabic,Married,Middle,Upper middle class,2
