V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,N_REGION_ISO: Region (ISO),G_TOWNSIZE2: Settlement size_5 groups,V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,20,Telugu,Single,Higher,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,21,Urdu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,23,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,23,Telugu,Married,Middle,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,23,Telugu,Single,Higher,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,25,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,26,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,28,Telugu,Married,Higher,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,29,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,29,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,29,Telugu,Single,Higher,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,30,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,31,Telugu,Married,Middle,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,31,Telugu,Married,Middle,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,31,Urdu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,33,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,34,Telugu,Married,Middle,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,35,Telugu,Married,Lower,Lower class,3
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,35,Telugu,Married,Lower,Lower middle class,2
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,37,Telugu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,37,Urdu,Married,Middle,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,39,Urdu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,40,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,40,Telugu,Married,Lower,Upper middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,40,Telugu,Married,Lower,Working class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,42,Telugu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,43,Urdu,Married,Lower,Lower middle class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,45,Telugu,Married,Lower,Lower class,1
2012,-4,IN-AP Andhra Pradesh,20000-100000,Female,45,Telugu,Married,Lower,Lower middle class,1
