A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,స్త్రీ,16-24,లేదు,సింగిల్,ఉన్నత,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,స్త్రీ,16-24,లేదు,సింగిల్,మధ్యస్థం,దిగువ మధ్యతరగతి,9
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,స్త్రీ,25-34,లేదు,వివాహితులు,ఉన్నత,దిగువ మధ్యతరగతి,5
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,స్త్రీ,45-54 (ఆంగ్లం),లేదు,వివాహితులు,మధ్యస్థం,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,16-24,లేదు,సింగిల్,మధ్యస్థం,దిగువ మధ్యతరగతి,16
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,16-24,లేదు,సింగిల్,మధ్యస్థం,ఉన్నత మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,25-34,లేదు,వివాహితులు,ఉన్నత,దిగువ మధ్యతరగతి,7
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,25-34,లేదు,వివాహితులు,మధ్యస్థం,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,25-34,లేదు,సింగిల్,ఉన్నత,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,35-44 35-44,లేదు,వివాహితులు,మధ్యస్థం,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,45-54 (ఆంగ్లం),లేదు,వివాహితులు,దిగువ,ఉన్నత మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,45-54 (ఆంగ్లం),లేదు,వివాహితులు,మధ్యస్థం,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,గ్రామీణ,పురుషుడు,55-64 (55-64),లేదు,వివాహితులు,మధ్యస్థం,దిగువ మధ్యతరగతి,4
2023,భారతదేశం,IN-BR బీహార్,అర్బన్,పురుషుడు,16-24,లేదు,సింగిల్,మధ్యస్థం,ఉన్నత మధ్యతరగతి,6
2023,భారతదేశం,IN-DL ఢిల్లీ,గ్రామీణ,స్త్రీ,16-24,లేదు,సింగిల్,మధ్యస్థం,ఉన్నత మధ్యతరగతి,5
2023,భారతదేశం,IN-DL ఢిల్లీ,అర్బన్,స్త్రీ,16-24,లేదు,సింగిల్,మధ్యస్థం,దిగువ మధ్యతరగతి,4
