A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Q2: Important in life: Friends,Q3: Important in life: Leisure time,Q4: Important in life: Politics,Q5: Important in life: Work,Q6: Important in life: Religion,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q20: Neighbors: People who have AIDS,Q21: Neighbors: Immigrants/foreign workers,Q22: Neighbors: Homosexuals,Q23: Neighbors: People of a different religion,Q24: Neighbors: Heavy drinkers,Q25: Neighbors: Unmarried couples living together,Q26: Neighbors: People who speak a different language,Q27: One of main goals in life has been to make my parents proud,Q29: Men make better political leaders than women do,Q30: University is more important for a boy than for a girl,Q31: Men make better business executives than women do,Q32: Being a housewife just as fulfilling,Q33: Jobs scarce: Men should have more right to a job than women,Q34: Jobs scarce: Employers should give priority to (nation) people than immigrants,Q43: Future changes: Less importance placed on work,Q44: Future changes: More emphasis on technology,Q45: Future changes: Greater respect for authority,Q58: Trust: Your family,Q59: Trust: Your neighborhood,Q60: Trust: People you know personally,Q61: Trust: People you meet for the first time,Q62: Trust: People of another religion,Q63: Trust: People of another nationality,Q64: Confidence: Churches,Q65: Confidence: Armed Forces,Q66: Confidence: The Press,Q67: Confidence: Television,Q68: Confidence: Labor Unions,Q69: Confidence: The Police,Q70: Confidence: Justice System/Courts,Q71: Confidence: The Government,Q72: Confidence: The Political Parties,Q73: Confidence: Parliament,Q74: Confidence: The Civil Services,Q77: Confidence: Major Companies,Q79: Confidence: The Environmental Protection Movement,Q80: Confidence: The Women's Movement,Q81: Confidence: Charitable or humanitarian organizations,Q83: Confidence: The United Nations (UN),Q106: Incomes should be made more equal vs There should be greater incentives for individual effort,Q107: Private vs state ownership of business,Q108: Government's vs individual's responsibility,Q109: Competition good or harmful,Q110: Success: hard work vs luck,Q111: Protecting environment vs. Economic growth,Q151: Willingness to fight for country,Q152: Aims of country: first choice,Q154: Aims of respondent: first choice,"Q158: Science and technology are making our lives healthier, easier, and more comfortable","Q159: Because of science and technology, there will be more opportunities for the next generation",Q160: We depend too much on science and not enough on faith,"Q163: The world is better off, or worse off, because of science and technology",Q177: Justifiable: Claiming government benefits to which you are not entitled,Q178: Justifiable: Avoiding a fare on public transport,Q180: Justifiable: Cheating on taxes,Q181: Justifiable: Someone accepting a bribe in the course of their duties,Q182: Justifiable: Homosexuality,Q184: Justifiable: Abortion,Q185: Justifiable: Divorce,Q187: Justifiable: Suicide,Q189: Justifiable: For a man to beat his wife,Q235: Political system: Having a strong leader who does not have to bother with parliament and elections,"Q236: Political system: Having experts, not government, make decisions according to what they think is best for the country",Q237: Political system: Having the army rule,Q238: Political system: Having a democratic political system,Q241: Democracy: Governments tax the rich and subsidize the poor,Q242: Democracy: Religious authorities interpret the laws,Q243: Democracy: People choose their leaders in free elections,Q244: Democracy: People receive state aid for unemployment,Q245: Democracy: The army takes over when government is incompetent,Q246: Democracy: Civil rights protect people’s liberty against oppression,Q249: Democracy: Women have the same rights as men,Q250: Importance of democracy,Q251: How democratically is this country being governed today,Q253: Respect for individual human rights nowadays,Q254: National pride
2018,Iraq,IQ-BG Baghdad,Urban,Female,65 and more years,Arabic,Widowed,Lower,Lower middle class,Rather important,Not very important,Very important,Very important,Very important,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree,Bad thing,Good thing,Don't mind,Trust somewhat,Trust somewhat,Trust completely,Do not trust very much,Do not trust at all,Do not trust at all,A great deal,A great deal,None at all,Not very much,None at all,A great deal,Not very much,None at all,None at all,None at all,None at all,Not very much,None at all,Not very much,A great deal,None at all,7,5,9,Competition is harmful,8,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,8,2,A lot better off,4,3,2,2,No answer,2,3,2,3,Very good,Fairly good,Very good,Fairly good,5,8,5,An essential characteristic of democracy,6,5,9,8,5,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Lower,Working class,Rather important,Not at all important,Very important,Very important,Very important,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Strongly disagree,Disagree,Agree,Disagree strongly,Disagree,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,Do not trust at all,A great deal,Quite a lot,None at all,Not very much,None at all,A great deal,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,Not very much,Not very much,None at all,4,Government ownership of business should be increased,4,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Giving people more say in important government decisions,Completely agree,8,8,3,Always justifiable,2,3,3,No answer,2,2,2,2,Very good,Very good,Fairly good,Very good,An essential characteristic of democracy,9,8,6,8,6,An essential characteristic of democracy,Absolutely important,Completely democratic,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Lower,Lower middle class,Rather important,Rather important,Very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Strongly disagree,Agree strongly,Agree strongly,Disagree strongly,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,Do not trust at all,A great deal,A great deal,None at all,Quite a lot,None at all,None at all,A great deal,None at all,None at all,None at all,None at all,None at all,None at all,Not very much,A great deal,None at all,There should be greater incentives for individual effort,7,6,3,6,Protecting environment,Yes,A high level of economic growth,Giving people more say in important government decisions,Completely agree,8,8,A lot better off,7,5,2,2,No answer,3,3,3,2,Very good,Fairly good,Very good,Very bad,An essential characteristic of democracy,6,8,5,An essential characteristic of democracy,8,5,7,5,Fairly much  respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,35-44,Arabic,Married,Lower,Working class,Rather important,Not very important,Very important,Very important,Very important,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree,Agree strongly,Agree strongly,Disagree strongly,Good thing,Good thing,Good thing,Trust completely,Do not trust at all,Trust somewhat,Do not trust at all,Do not trust at all,Trust somewhat,Quite a lot,A great deal,Not very much,Quite a lot,Not very much,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,Not very much,Not very much,A great deal,None at all,There should be greater incentives for individual effort,6,People should take more responsibility to provide for themselves,4,9,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,9,8,5,A lot better off,9,6,2,2,No answer,2,3,3,2,Very good,Fairly bad,Very good,Fairly good,5,6,7,8,5,7,5,Absolutely important,7,Fairly much  respect,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,16-24,Arabic,Married,Lower,Upper class,Very important,Rather important,Rather important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Do not trust very much,Do not trust very much,A great deal,A great deal,Quite a lot,A great deal,A great deal,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Quite a lot,Quite a lot,A great deal,A great deal,Quite a lot,Not very much,6,6,People should take more responsibility to provide for themselves,5,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Giving people more say in important government decisions,Completely agree,Completely agree,5,A lot better off,6,5,5,5,No answer,6,5,5,6,Very good,Very good,Very good,Fairly bad,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,Completely democratic,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Single,Higher,Working class,Rather important,Rather important,Very important,Very important,Very important,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Disagree,Disagree,Disagree,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Do not trust very much,Trust completely,Do not trust very much,Not very much,A great deal,A great deal,Not very much,A great deal,A great deal,A great deal,None at all,None at all,None at all,A great deal,A great deal,Not very much,Not very much,A great deal,A great deal,5,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Seeing that people have more say about how  are done at their jobs and in their communities,Giving people more say in important government decisions,6,Completely agree,6,A lot better off,5,5,6,6,No answer,6,6,5,6,Very good,Very good,Very good,Fairly bad,An essential characteristic of democracy,7,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,6,Absolutely important,6,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Female,25-34,Arabic,Married,Higher,Lower middle class,Very important,Very important,Very important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Disagree,Agree strongly,Disagree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,Don't know,Don't know,A great deal,Not very much,None at all,5,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,7,A lot better off,6,6,6,6,No answer,6,7,6,7,Very good,Very good,Very good,Very good,An essential characteristic of democracy,6,An essential characteristic of democracy,7,6,An essential characteristic of democracy,An essential characteristic of democracy,6,6,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,16-24,Arabic,Married,Middle,Upper class,Very important,Very important,Not at all important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Disagree,Disagree,Disagree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust somewhat,Do not trust very much,None at all,Not very much,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,Not very much,None at all,6,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,Seeing that people have more say about how  are done at their jobs and in their communities,Maintaining order in the nation,Completely agree,Completely agree,7,A lot better off,Always justifiable,6,6,6,No answer,6,6,6,5,Very good,Very good,Fairly bad,Very good,7,5,8,An essential characteristic of democracy,An essential characteristic of democracy,8,An essential characteristic of democracy,Absolutely important,4,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,55-64,Arabic,Married,Middle,Working class,Very important,Not very important,Rather important,Very important,Very important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Don't mind,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Not very much,A great deal,A great deal,Not very much,Not very much,Quite a lot,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,Not very much,7,8,7,8,7,Protecting environment,Yes,A high level of economic growth,Giving people more say in important government decisions,6,7,7,8,6,7,8,6,No answer,7,7,7,7,Very good,Very good,Fairly bad,Very good,6,7,8,6,9,7,7,8,7,No respect at all,Very proud
2018,Iraq,IQ-BG Baghdad,Urban,Male,55-64,Arabic,Married,Lower,Working class,Very important,Rather important,Not very important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Disagree,Agree,Agree,Agree strongly,Agree strongly,Agree,Bad thing,Good thing,Don't mind,Trust completely,Trust completely,Trust completely,Trust completely,Trust somewhat,Trust completely,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,None at all,None at all,Not very much,Not very much,A great deal,Quite a lot,Quite a lot,None at all,7,6,7,6,7,Protecting environment,Yes,A high level of economic growth,Giving people more say in important government decisions,7,6,7,6,7,6,8,8,No answer,7,7,6,8,Very good,Very good,Very bad,Very good,8,6,7,7,7,7,7,7,7,A great deal of respect,Very proud
