V262: Year survey,B_COUNTRY_ALPHA: Country code ISO 3166 alpha,V256: Region where the interview was conducted,V253_CS: Size of town (country specific),V240: Sex,V242: Age,V247: Language at home,V57: Marital status,V248R: Highest educational level: Respondent (recoded into 3 groups),V238: Social class (subjective),Counts
2010,-4,JP: Chugoku region,JP: Rural districts,Female,18,Japanese,Single,Lower,Don´t know,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,25,Japanese,Single,Higher,Working class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,36,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,44,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,48,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,50,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,64,Japanese,Married,Middle,Lower middle class,2
2010,-4,JP: Chugoku region,JP: Rural districts,Female,72,Japanese,Widowed,Lower,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Female,73,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,32,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,38,Japanese,Married,Higher,Working class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,38,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,39,Japanese,Married,Middle,Lower class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,43,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,51,Japanese,Married,Middle,Working class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,54,Japanese,Married,Don´t know,Lower middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,62,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,66,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,JP: Rural districts,Male,70,Japanese,Married,Middle,Upper class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,19,Japanese,Single,Middle,Don´t know,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,25,Japanese,Single,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,30,Japanese,Single,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,38,Japanese,Married,Middle,Upper middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,49,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,51,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,58,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,62,Japanese,Married,Higher,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,62,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,65,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,66,Japanese,Separated,Middle,Working class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,72,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Female,73,Japanese,Married,Middle,Lower middle class,1
2010,-4,JP: Chugoku region,JP:18 major large cities,Male,32,Japanese,Single,Higher,Lower middle class,1
