A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_WVS: Region country specific,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Counts
2017,Russia,RU: Central Federal District,Rural,Female,65 and more years,Russian,Widowed,Lower,Lower class,4
2017,Russia,RU: Central Federal District,Urban,Female,16-24,Russian,Single,Middle,Lower middle class,4
2017,Russia,RU: Central Federal District,Urban,Female,16-24,Russian,Single,Middle,Upper middle class,7
2017,Russia,RU: Central Federal District,Urban,Female,25-34,Russian,Divorced,Higher,Upper middle class,5
2017,Russia,RU: Central Federal District,Urban,Female,25-34,Russian,Married,Higher,Lower middle class,6
2017,Russia,RU: Central Federal District,Urban,Female,25-34,Russian,Single,Higher,Lower middle class,6
2017,Russia,RU: Central Federal District,Urban,Female,25-34,Russian,Single,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Female,35-44,Russian,Divorced,Higher,Working class,5
2017,Russia,RU: Central Federal District,Urban,Female,35-44,Russian,Married,Higher,Lower middle class,5
2017,Russia,RU: Central Federal District,Urban,Female,35-44,Russian,Married,Higher,Upper middle class,8
2017,Russia,RU: Central Federal District,Urban,Female,35-44,Russian,Single,Higher,Upper middle class,4
2017,Russia,RU: Central Federal District,Urban,Female,45-54,Russian,Married,Higher,Lower middle class,6
2017,Russia,RU: Central Federal District,Urban,Female,45-54,Russian,Married,Higher,Upper middle class,13
2017,Russia,RU: Central Federal District,Urban,Female,45-54,Russian,Widowed,Higher,Lower middle class,4
2017,Russia,RU: Central Federal District,Urban,Female,55-64,Russian,Married,Higher,Lower middle class,6
2017,Russia,RU: Central Federal District,Urban,Female,55-64,Russian,Married,Higher,Working class,5
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Married,Higher,Lower middle class,4
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Widowed,Higher,Lower middle class,6
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Widowed,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Widowed,Lower,Working class,4
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Widowed,Middle,Lower middle class,4
2017,Russia,RU: Central Federal District,Urban,Female,65 and more years,Russian,Widowed,Middle,Working class,6
2017,Russia,RU: Central Federal District,Urban,Male,16-24,Russian,Single,Higher,Lower middle class,4
2017,Russia,RU: Central Federal District,Urban,Male,25-34,Russian,Married,Higher,Upper middle class,4
2017,Russia,RU: Central Federal District,Urban,Male,25-34,Russian,Single,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Male,25-34,Russian,Single,Middle,Working class,4
2017,Russia,RU: Central Federal District,Urban,Male,35-44,Russian,Married,Higher,Lower middle class,9
2017,Russia,RU: Central Federal District,Urban,Male,35-44,Russian,Married,Higher,Upper middle class,10
2017,Russia,RU: Central Federal District,Urban,Male,35-44,Russian,Married,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Male,45-54,Russian,Married,Higher,Lower middle class,12
2017,Russia,RU: Central Federal District,Urban,Male,45-54,Russian,Married,Higher,Upper middle class,5
2017,Russia,RU: Central Federal District,Urban,Male,45-54,Russian,Married,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Male,55-64,Russian,Married,Higher,Working class,5
2017,Russia,RU: Central Federal District,Urban,Male,65 and more years,Russian,Married,Higher,Working class,4
2017,Russia,RU: Central Federal District,Urban,Male,65 and more years,Russian,Widowed,Higher,Working class,6
2017,Russia,RU: Far East Federal District,Urban,Female,65 and more years,Russian,Widowed,Lower,Working class,4
2017,Russia,RU: North West Federal District,Urban,Female,16-24,Russian,Single,Middle,Lower middle class,4
2017,Russia,RU: North West Federal District,Urban,Female,35-44,Russian,Divorced,Higher,Lower middle class,4
2017,Russia,RU: North West Federal District,Urban,Male,16-24,Russian,Single,Middle,Working class,4
2017,Russia,RU: Siberian Federal District,Urban,Female,65 and more years,Russian,Widowed,Lower,Working class,6
2017,Russia,RU: South Federal District,Urban,Female,35-44,Russian,Divorced,Higher,Lower middle class,4
2017,Russia,RU: Urals Federal District,Urban,Female,45-54,Russian,Married,Higher,Lower middle class,4
2017,Russia,RU: Urals Federal District,Urban,Female,65 and more years,Russian,Widowed,Higher,Lower middle class,4
2017,Russia,RU: Urals Federal District,Urban,Male,25-34,Russian,Married,Higher,Lower middle class,7
2017,Russia,RU: Urals Federal District,Urban,Male,35-44,Russian,Married,Higher,Lower middle class,5
2017,Russia,RU: Urals Federal District,Urban,Male,35-44,Russian,Married,Higher,Working class,5
2017,Russia,RU: Volga; Privolzhsky Federal District,Rural,Male,25-34,Russian,Married,Higher,Lower middle class,4
2017,Russia,RU: Volga; Privolzhsky Federal District,Urban,Female,35-44,Russian,Divorced,Higher,Lower middle class,5
2017,Russia,RU: Volga; Privolzhsky Federal District,Urban,Female,35-44,Russian,Married,Higher,Lower middle class,4
2017,Russia,RU: Volga; Privolzhsky Federal District,Urban,Male,16-24,Russian,Single,Middle,Lower middle class,5
2017,Russia,RU: Volga; Privolzhsky Federal District,Urban,Male,25-34,Russian,Married,Higher,Lower middle class,8
2017,Russia,RU: Volga; Privolzhsky Federal District,Urban,Male,25-34,Russian,Married,Higher,Working class,5
