language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q156,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Russian,Widowed,Female,Rural,RU-BEL Belgorodskaya area,65 and more years,Lower,Lower class,russia,4,7,1,2,8,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Нет,Пытаемся сделать наши города и деревни красивее,Борьба с ростом цен,Стабильная экономика,3,4,3,3,9,Никогда не оправдано,Никогда не оправдано,Не важно,Никогда не может быть оправдано,Никогда не оправдано,1,1,1,1,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно плохо,Очень плохо,Довольно плохо,Не важно,3,1,3,2,1,3,7,Не важно,3,3,Не очень-то уважаю.,Не очень горжусь.,Не важно,Полностью согласен,Полностью согласен,Не очень важно.,Полностью согласен,Полностью согласен,Полностью согласен,Соглашаться,Полностью согласен,Совсем не важно.,Не знаю,Не знаю,Не обращай внимания,Совсем не важно.,Доверяйте полностью,Доверяйте немного,Довольно важно,Доверяйте немного,Не доверяй вообще,Не очень доверяю,Не очень доверяю,Довольно много,Довольно много,Вообще ничего,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Вообще ничего,Вообще ничего,Не очень много,Вообще ничего,Не знаю,Вообще ничего,Не очень много,Не знаю
Russian,Single,Female,Urban,RU-MOW Moskva autonomous city,16-24,Middle,Upper middle class,russia,8,3,6,8,6,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Да,Высокий уровень экономического роста,Борьба с ростом цен,Стабильная экономика,8,9,2,8,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,6,2,7,7,1,3,Не важно,Очень важно,Не важно,Не знаю,Не знаю,Не важно,Довольно плохо,Довольно хорошо,Очень плохо,Довольно хорошо,Не важно,6,1,9,No answer,No answer,8,10,Не важно,6,4,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Очень важно,Категорически не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не знаю,Хорошая вещь.,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Совсем не важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Доверяйте немного,Не очень много,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Не очень много,Не очень много,Вообще ничего,Не очень много,Довольно много,Довольно много,Довольно много,Не знаю,Довольно много,Не очень много
Russian,Married,Female,Urban,RU-MOW Moskva autonomous city,35-44,Higher,Upper middle class,russia,8,4,6,8,3,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Нет,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,8,9,3,8,6,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,6,2,7,7,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно плохо,Довольно хорошо,Очень плохо,Довольно плохо,Не важно,7,1,9,No answer,No answer,8,10,Не важно,7,5,Довольно большое уважение,Очень горжусь,Не важно,Соглашаться,Не согласен,Очень важно,Не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не знаю,Хорошая вещь.,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Не очень важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Не очень много,Довольно много,Вообще ничего,Не очень много,Довольно много,Довольно много,Довольно много,Не очень много,Довольно много,Не очень много
Russian,Married,Female,Urban,RU-MOW Moskva autonomous city,45-54,Higher,Upper middle class,russia,6,4,6,8,3,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Нет,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,8,9,2,8,6,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,4,1,6,7,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно плохо,Довольно хорошо,Очень плохо,Довольно плохо,Не важно,7,1,9,No answer,No answer,8,10,Не важно,7,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Не согласен,Довольно важно,Не согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не знаю,Хорошая вещь.,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Не очень важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Не очень много,Довольно много,Вообще ничего,Не очень много,Довольно много,Довольно много,Довольно много,Не очень много,Довольно много,Не очень много
Russian,Married,Male,Urban,RU-MOW Moskva autonomous city,35-44,Higher,Lower middle class,russia,8,6,6,7,7,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Да,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,7,8,3,7,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,3,1,5,6,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно плохо,Очень плохо,Довольно плохо,Не важно,6,1,8,5,1,7,8,Не важно,6,4,Не очень-то уважаю.,Не очень горжусь.,Не важно,Соглашаться,Соглашаться,Довольно важно,Полностью согласен,Не согласен,Не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не знаю,Не обращай внимания,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Совсем не важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Не очень доверяю,Не очень много,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Не очень много,Довольно много,Не знаю,Вообще ничего,Не очень много,Не очень много
Russian,Married,Male,Urban,RU-MOW Moskva autonomous city,35-44,Higher,Upper middle class,russia,9,3,6,8,3,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Да,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,8,9,2,8,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,4,2,6,6,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно хорошо,Довольно плохо,Довольно плохо,Не важно,6,1,9,No answer,No answer,8,9,Не важно,6,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Соглашаться,Очень важно,Полностью согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не обращай внимания,Хорошая вещь.,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Не очень важно.,Доверяйте полностью,Доверяйте немного,Доверяйте немного,Доверяйте немного,Не очень много,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Не очень много,Довольно много,Вообще ничего,Не очень много,Довольно много,Довольно много,Довольно много,Вообще ничего,Довольно много,Не очень много
Russian,Married,Male,Urban,RU-MOW Moskva autonomous city,45-54,Higher,Lower middle class,russia,8,6,6,7,7,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Да,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,7,8,6,7,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,3,1,5,6,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно плохо,Очень плохо,Довольно плохо,Не важно,6,1,8,5,1,7,8,Не важно,6,4,Довольно большое уважение,Не очень горжусь.,Не важно,Соглашаться,Соглашаться,Довольно важно,Полностью согласен,Соглашаться,Не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не знаю,Не обращай внимания,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Совсем не важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Не очень доверяю,Не очень много,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Не очень много,Не очень много,Не знаю,Вообще ничего,Не очень много,Не очень много
Russian,Married,Male,Urban,RU-MOW Moskva autonomous city,45-54,Higher,Upper middle class,russia,9,3,6,8,3,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Да,Высокий уровень экономического роста,Поддержание порядка в стране,Стабильная экономика,8,9,2,8,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,3,1,6,6,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно хорошо,Довольно плохо,Довольно плохо,Не важно,6,1,9,No answer,No answer,8,9,Не важно,6,5,Довольно большое уважение,Очень горжусь,Не важно,Полностью согласен,Полностью согласен,Довольно важно,Полностью согласен,Категорически не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Довольно важно,Не обращай внимания,Хорошая вещь.,Хорошая вещь.,Очень важно,Доверяйте полностью,Доверяйте немного,Не очень важно.,Доверяйте полностью,Не очень доверяю,Доверяйте немного,Доверяйте немного,Довольно много,Довольно много,Не очень много,Не очень много,Вообще ничего,Не очень много,Не очень много,Довольно много,Вообще ничего,Не очень много,Довольно много,Довольно много,Довольно много,Вообще ничего,Довольно много,Не очень много
Russian,Widowed,Female,Urban,RU-PRI Primorskiy kray,65 and more years,Lower,Working class,russia,6,7,1,3,2,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Нет,Пытаемся сделать наши города и деревни красивее,Борьба с ростом цен,Стабильная экономика,4,6,5,5,7,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,1,1,3,4,1,3,Не важно,Очень важно,Не важно,Не важно,Не важно,Не важно,Довольно хорошо,Довольно плохо,Очень плохо,Довольно плохо,Не важно,6,1,7,5,1,6,9,Не важно,3,2,Не очень-то уважаю.,Не очень горжусь.,Не важно,Соглашаться,Соглашаться,Довольно важно,Полностью согласен,Соглашаться,Полностью согласен,Категорически не согласен,Полностью согласен,Не очень важно.,Плохая вещь,Не знаю,Не обращай внимания,Очень важно,Доверяйте полностью,Доверяйте немного,Совсем не важно.,Доверяйте полностью,Не доверяй вообще,Не очень доверяю,Не очень доверяю,Не очень много,Довольно много,Вообще ничего,Довольно много,Не знаю,Не очень много,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Довольно много,Вообще ничего,Не знаю,Вообще ничего,Довольно много,Не знаю
Russian,Divorced,Female,Urban,RU-ROS Rostovskaya area,35-44,Higher,Lower middle class,russia,8,5,6,7,2,"Экономический рост и создание рабочих мест должны стать главным приоритетом, даже если при этом в некоторой степени страдает окружающая среда.",Нет,Высокий уровень экономического роста,Борьба с ростом цен,Стабильная экономика,7,8,6,7,3,Никогда не оправдано,Никогда не оправдано,Важный,Никогда не может быть оправдано,Никогда не оправдано,3,1,6,7,1,3,Не важно,Довольно важно,Не важно,Не важно,Не важно,Не важно,Довольно плохо,Довольно плохо,Очень плохо,Довольно плохо,Не важно,6,1,8,6,1,7,9,Не важно,6,3,Не очень-то уважаю.,Не очень горжусь.,Не важно,Соглашаться,Не согласен,Довольно важно,Не согласен,Не согласен,Категорически не согласен,Категорически не согласен,Полностью согласен,Не очень важно.,Не знаю,Не знаю,Не обращай внимания,Очень важно,Доверяйте немного,Не очень доверяю,Совсем не важно.,Доверяйте немного,Не доверяй вообще,Не знаю,Не очень доверяю,Не очень много,Довольно много,Вообще ничего,Не очень много,Вообще ничего,Не очень много,Не очень много,Не очень много,Вообще ничего,Вообще ничего,Не очень много,Не очень много,Не знаю,Вообще ничего,Не очень много,Не очень много
