language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Russian,Widowed,Female,Rural,RU: Central Federal District,65 and more years,Lower,Lower class,russia,7,7,1,2,8,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Obespechenie sil'nyh oboronnyh sil etoj strany,Bor'ba s rostom tsen,3,4,1,2,10,Nikogda ne opravdano,Vsegda opravdano,Vazhnyj,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,1,1,2,1,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no horosho,Dovol'no ploho,Dovol'no horosho,Dovol'no ploho,Ne vazhno,3,8,8,4,1,9,3,Ne vazhno,6,2,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Polnost'ju soglasen,Polnost'ju soglasen,Ne ochen' vazhno.,Polnost'ju soglasen,Polnost'ju soglasen,Polnost'ju soglasen,Polnost'ju soglasen,Polnost'ju soglasen,Sovsem ne vazhno.,Plohaja vesch',Ne obraschaj vnimanija,Horoshaja vesch'.,Sovsem ne vazhno.,Doverjajte polnost'ju,Ne ochen' doverjaju,Dovol'no vazhno,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Voobsche nichego,Voobsche nichego,Voobsche nichego,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego
Russian,Single,Female,Urban,RU: Central Federal District,16-24,Middle,Lower middle class,russia,8,4,7,6,8,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,7,8,6,7,8,Nikogda ne opravdano,Vsegda opravdano,Ne vazhno,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,3,3,6,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no horosho,Dovol'no ploho,Dovol'no ploho,Dovol'no ploho,Ne vazhno,5,8,8,5,1,9,7,Ne vazhno,6,3,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Polnost'ju soglasen,Soglashat'sja,Dovol'no vazhno,Soglashat'sja,Ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Polnost'ju soglasen,Ne ochen' vazhno.,Plohaja vesch',Horoshaja vesch'.,Ne obraschaj vnimanija,Dovol'no vazhno,Doverjajte nemnogo,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Voobsche nichego,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Single,Female,Urban,RU: Central Federal District,16-24,Middle,Upper middle class,russia,8,6,4,8,3,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,9,10,6,8,4,Nikogda ne opravdano,Nikogda ne opravdano,Ne vazhno,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,6,5,7,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no horosho,Dovol'no horosho,Dovol'no ploho,Dovol'no horosho,Ne vazhno,7,10,10,No answer,1,10,10,Ne vazhno,7,4,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Polnost'ju soglasen,Ne soglasen,Ochen' vazhno,Ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Soglashat'sja,Ne ochen' vazhno.,Ne obraschaj vnimanija,Horoshaja vesch'.,Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte polnost'ju,Doverjajte nemnogo,Sovsem ne vazhno.,Doverjajte polnost'ju,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo
Russian,Divorced,Female,Urban,RU: Central Federal District,25-34,Higher,Upper middle class,russia,8,2,3,8,5,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,9,10,6,8,3,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,7,1,2,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no horosho,Dovol'no ploho,Dovol'no horosho,Ne vazhno,7,10,10,No answer,1,10,10,Ne vazhno,7,3,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Ne soglasen,Ochen' vazhno,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,"Ni soglasen, ni ne soglasen",Dovol'no vazhno,Plohaja vesch',Horoshaja vesch'.,Plohaja vesch',Ochen' vazhno,Doverjajte nemnogo,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Dovol'no mnogo,Dovol'no mnogo,Ne ochen' mnogo
Russian,Married,Female,Urban,RU: Central Federal District,25-34,Higher,Lower middle class,russia,4,4,5,7,5,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,8,9,6,7,7,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,4,3,7,7,1,1,Ne vazhno,Dovol'no vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no ploho,Dovol'no ploho,Dovol'no horosho,Ne vazhno,6,10,10,No answer,1,9,9,Ne vazhno,7,4,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Soglashat'sja,Dovol'no vazhno,Ne soglasen,Ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Soglashat'sja,Ne ochen' vazhno.,Plohaja vesch',Horoshaja vesch'.,Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte polnost'ju,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Single,Female,Urban,RU: Central Federal District,25-34,Higher,Lower middle class,russia,8,4,5,7,6,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,7,No answer,6,7,7,Nikogda ne opravdano,Nikogda ne opravdano,Ne vazhno,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,4,5,7,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no ploho,Dovol'no horosho,Dovol'no horosho,Ne vazhno,6,10,10,No answer,1,9,9,Ne vazhno,6,3,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Ne soglasen,Dovol'no vazhno,Ne soglasen,Ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Soglashat'sja,Ne ochen' vazhno.,Plohaja vesch',Horoshaja vesch'.,Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte nemnogo,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Voobsche nichego,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Single,Female,Urban,RU: Central Federal District,25-34,Higher,Working class,russia,8,6,7,6,3,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,7,No answer,6,7,8,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Invalid answer,Invalid answer,3,3,7,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no ploho,Dovol'no horosho,Dovol'no ploho,Ne vazhno,6,10,10,No answer,1,10,9,Ne vazhno,6,3,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Ne soglasen,Dovol'no vazhno,Ne soglasen,Kategoricheski ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Polnost'ju soglasen,Dovol'no vazhno,Plohaja vesch',Horoshaja vesch'.,Plohaja vesch',Ochen' vazhno,Doverjajte nemnogo,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Divorced,Female,Urban,RU: Central Federal District,35-44,Higher,Working class,russia,8,6,7,6,6,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,7,8,6,7,8,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Invalid answer,Invalid answer,3,3,7,8,1,1,Ne vazhno,Dovol'no vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no ploho,Dovol'no horosho,Dovol'no ploho,Ne vazhno,6,10,10,6,1,10,9,Ne vazhno,6,3,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Ne soglasen,Ochen' vazhno,Ne soglasen,Kategoricheski ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Polnost'ju soglasen,Ne ochen' vazhno.,Plohaja vesch',Plohaja vesch',Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte nemnogo,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Voobsche nichego,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Married,Female,Urban,RU: Central Federal District,35-44,Higher,Lower middle class,russia,8,5,4,7,5,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,8,9,6,7,8,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,3,3,2,7,1,1,Ne vazhno,Dovol'no vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no ploho,Dovol'no ploho,Dovol'no horosho,Dovol'no horosho,Ne vazhno,6,10,10,No answer,1,10,9,Ne vazhno,7,4,Ne ochen'-to uvazhaju.,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Soglashat'sja,Dovol'no vazhno,Ne soglasen,Ne soglasen,Ne soglasen,Kategoricheski ne soglasen,Polnost'ju soglasen,Ne ochen' vazhno.,Plohaja vesch',Horoshaja vesch'.,Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte polnost'ju,Ne ochen' doverjaju,Sovsem ne vazhno.,Doverjajte nemnogo,Ne doverjaj voobsche,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Dovol'no mnogo,Ne ochen' mnogo
Russian,Married,Female,Urban,RU: Central Federal District,35-44,Higher,Upper middle class,russia,8,6,6,8,3,"Ekonomicheskij rost i sozdanie rabochih mest dolzhny stat' glavnym prioritetom, dazhe esli pri etom v nekotoroj stepeni stradaet okruzhajuschaja sreda.",Da,Vysokij uroven' ekonomicheskogo rosta,Bor'ba s rostom tsen,9,10,6,8,7,Nikogda ne opravdano,Nikogda ne opravdano,Vazhnyj,Nikogda ne mozhet byt' opravdano,Nikogda ne opravdano,4,3,2,7,1,1,Ne vazhno,Ochen' vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Ne vazhno,Dovol'no horosho,Dovol'no horosho,Dovol'no ploho,Dovol'no horosho,Ne vazhno,7,10,10,No answer,1,10,10,Ne vazhno,8,4,Dovol'no bol'shoe uvazhenie,Ochen' gorzhus',Ne vazhno,Soglashat'sja,Ne soglasen,Ochen' vazhno,Ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Kategoricheski ne soglasen,Soglashat'sja,Dovol'no vazhno,Plohaja vesch',Horoshaja vesch'.,Ne obraschaj vnimanija,Ochen' vazhno,Doverjajte polnost'ju,Doverjajte nemnogo,Ne ochen' vazhno.,Doverjajte polnost'ju,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' doverjaju,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Voobsche nichego,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo,Ne ochen' mnogo,Dovol'no mnogo,Ne ochen' mnogo
