language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Hindi,Single,Female,Rural,IN-UP Uttar Pradesh,16-24,Middle,Working class,india,8,4,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,6,8,6,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,2,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,9,1,10,1,1,10,8,महत्वपूर्ण,9,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,सहमत,दृढ़ता से असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,अची बात है,बुरी चीज़,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Female,Rural,IN-UP Uttar Pradesh,35-44,Lower,Working class,india,7,3,1,3,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,6,7,7,6,10,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,9,3,10,1,1,10,7,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बहुत महत्वपूर्ण नहीं,सहमत,सहमत,पूरी तरह सहमत,दृढ़ता से असहमत,सहमत,कतई महत्वपूर्ण नहीं,बुरी चीज़,बुरी चीज़,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Female,Rural,IN-UP Uttar Pradesh,45-54,Lower,Working class,india,7,3,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,6,7,7,6,10,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,8,3,10,1,1,9,7,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बहुत महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,पूरी तरह सहमत,दृढ़ता से असहमत,सहमत,कतई महत्वपूर्ण नहीं,बुरी चीज़,बुरी चीज़,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Rural,IN-UP Uttar Pradesh,16-24,Higher,Working class,india,7,4,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,8,9,3,7,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,2,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी बुरा,काफी अच्छा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,9,1,10,1,1,10,7,महत्वपूर्ण,9,5,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,असहमत,बल्कि महत्वपूर्ण,असहमत,असहमत,सहमत,दृढ़ता से असहमत,सहमत,बल्कि महत्वपूर्ण,बुरी चीज़,अची बात है,बुरी चीज़,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Rural,IN-UP Uttar Pradesh,16-24,Lower,Working class,india,7,3,1,3,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,6,8,3,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी बुरा,महत्वपूर्ण,8,1,10,1,1,9,3,महत्वपूर्ण,7,3,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,पूरी तरह सहमत,सहमत,सहमत,सहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,बुरी चीज़,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Rural,IN-UP Uttar Pradesh,16-24,Middle,Lower middle class,india,7,4,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,7,8,6,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,8,3,10,1,1,9,5,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,दृढ़ता से असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,अची बात है,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Single,Male,Rural,IN-UP Uttar Pradesh,16-24,Middle,Working class,india,7,3,1,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,7,8,6,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,8,1,10,1,1,10,4,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,दृढ़ता से असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,अची बात है,बुरी चीज़,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Male,Rural,IN-UP Uttar Pradesh,25-34,Middle,Lower middle class,india,7,4,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,7,8,6,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी अच्छा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,8,3,10,2,1,9,6,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,अची बात है,बुरी चीज़,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Male,Rural,IN-UP Uttar Pradesh,25-34,Middle,Working class,india,7,4,2,6,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",हाँ,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,7,8,6,6,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी अच्छा,महत्वपूर्ण,8,3,10,1,1,9,6,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,असहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,बुरी चीज़,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,कुछ हद तक भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
Hindi,Married,Male,Rural,IN-UP Uttar Pradesh,35-44,Lower,Working class,india,7,1,1,4,1,"आर्थिक विकास और रोजगार सृजन सर्वोच्च प्राथमिकता होनी चाहिए, भले ही पर्यावरण को कुछ हद तक नुकसान हो।",नहीं,आर्थिक विकास का उच्च स्तर,बढ़ती कीमतों से लड़ना,6,8,6,5,9,3,7,महत्वपूर्ण,10,कभी भी न्यायोचित नहीं,1,1,1,1,1,1,महत्वपूर्ण नहीं,बहुत ज़रूरी,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,महत्वपूर्ण नहीं,काफी अच्छा,काफी बुरा,काफी बुरा,काफी बुरा,महत्वपूर्ण,8,3,10,1,1,9,4,महत्वपूर्ण,8,4,ज़्यादा सम्मान नहीं,काफी गर्व है,महत्वपूर्ण नहीं,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,सहमत,सहमत,सहमत,बहुत महत्वपूर्ण नहीं,बुरी चीज़,बुरी चीज़,बुरा मत मानना,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज्यादा भरोसा मत करो,बहुत ज़्यादा नहीं,बहुत बड़ा,बहुत ज़्यादा नहीं,काफी,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,बहुत ज़्यादा नहीं,बिल्कुल भी नहीं,काफी,बहुत ज़्यादा नहीं
