country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,year,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,2022,7,3,4,4,4,No answer,हाँ,No answer,No answer,No answer,No answer,7,3,No answer,2,7,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,1,No answer,No answer,महत्वपूर्ण,बल्कि महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण,8,7,9,4,1,4,4,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,No answer,बल्कि महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,No answer,पूरी तरह सहमत,No answer,बहुत ज़रूरी,अची बात है,अची बात है,No answer,बल्कि महत्वपूर्ण,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,कुछ हद तक भरोसा करें,पूरी तरह से भरोसा करें,काफी,बहुत बड़ा,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,बहुत बड़ा,काफी,काफी
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,2022,7,3,4,4,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",No answer,No answer,राष्ट्र में व्यवस्था बनाए रखना,5,No answer,7,3,No answer,2,7,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,1,No answer,2,महत्वपूर्ण,बहुत ज़रूरी,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,No answer,महत्वपूर्ण,8,7,9,4,1,5,4,महत्वपूर्ण,4,No answer,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,No answer,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,बहुत बड़ा,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,7,2,4,4,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,आर्थिक विकास का उच्च स्तर,No answer,5,7,7,3,No answer,2,7,महत्वपूर्ण,3,हमेशा न्यायोचित,1,No answer,1,1,No answer,2,महत्वपूर्ण,बल्कि महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,काफी अच्छा,महत्वपूर्ण,8,7,9,4,1,5,4,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,No answer,पूरी तरह सहमत,सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,2022,7,1,4,4,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,यह सुनिश्चित करना कि इस देश के पास मजबूत रक्षा बल हों,राष्ट्र में व्यवस्था बनाए रखना,7,7,7,3,No answer,2,5,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,1,4,3,महत्वपूर्ण,बल्कि महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,काफी अच्छा,काफी अच्छा,No answer,काफी अच्छा,महत्वपूर्ण,8,7,4,4,3,4,4,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,कुछ हद तक भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,2022,7,3,4,7,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",No answer,No answer,No answer,7,No answer,7,3,No answer,2,2,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,1,No answer,3,महत्वपूर्ण,बहुत ज़रूरी,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,काफी अच्छा,काफी अच्छा,महत्वपूर्ण,8,7,9,4,1,3,No answer,महत्वपूर्ण,4,No answer,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,2022,7,1,4,7,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,आर्थिक विकास का उच्च स्तर,राष्ट्र में व्यवस्था बनाए रखना,No answer,7,7,3,No answer,2,2,महत्वपूर्ण,3,हमेशा न्यायोचित,1,No answer,1,1,No answer,2,महत्वपूर्ण,बहुत ज़रूरी,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,काफी अच्छा,काफी अच्छा,महत्वपूर्ण,5,7,9,4,1,3,No answer,महत्वपूर्ण,1,No answer,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बहुत ज़रूरी,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,बहुत बड़ा,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,7,No answer,4,4,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,आर्थिक विकास का उच्च स्तर,No answer,7,7,7,3,No answer,3,7,महत्वपूर्ण,3,हमेशा न्यायोचित,No answer,No answer,1,1,No answer,2,महत्वपूर्ण,बल्कि महत्वपूर्ण,महत्वपूर्ण,No answer,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,काफी अच्छा,महत्वपूर्ण,8,7,9,4,1,4,8,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,2022,7,No answer,4,7,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",हाँ,आर्थिक विकास का उच्च स्तर,No answer,No answer,No answer,7,3,No answer,2,7,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,1,No answer,2,महत्वपूर्ण,बहुत ज़रूरी,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,काफी अच्छा,महत्वपूर्ण,8,7,9,4,1,4,8,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,No answer,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,7,No answer,4,4,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",No answer,No answer,राष्ट्र में व्यवस्था बनाए रखना,7,No answer,7,3,No answer,3,7,महत्वपूर्ण,3,हमेशा न्यायोचित,1,No answer,1,1,No answer,2,महत्वपूर्ण,बहुत ज़रूरी,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,No answer,काफी अच्छा,No answer,काफी अच्छा,महत्वपूर्ण,8,7,9,4,1,4,4,महत्वपूर्ण,1,No answer,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,No answer,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,कुछ हद तक भरोसा करें,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
India,Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,2022,7,3,1,No answer,4,"पर्यावरण संरक्षण को प्राथमिकता दी जानी चाहिए, भले ही इससे आर्थिक विकास धीमा हो जाए और कुछ नौकरियां खत्म हो जाएं।",No answer,आर्थिक विकास का उच्च स्तर,No answer,No answer,7,7,3,No answer,2,7,महत्वपूर्ण,3,कभी भी न्यायोचित नहीं,1,No answer,1,7,4,3,महत्वपूर्ण,बल्कि महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,महत्वपूर्ण,काफी अच्छा,काफी अच्छा,काफी अच्छा,काफी अच्छा,महत्वपूर्ण,8,7,4,4,1,4,4,महत्वपूर्ण,4,1,व्यक्तिगत मानवाधिकारों के प्रति अत्यधिक सम्मान,काफी गर्व है,महत्वपूर्ण,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,पूरी तरह सहमत,बल्कि महत्वपूर्ण,अची बात है,अची बात है,अची बात है,बल्कि महत्वपूर्ण,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,बहुत ज़रूरी,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,पूरी तरह से भरोसा करें,काफी,काफी,काफी,काफी,काफी,बहुत बड़ा,बहुत बड़ा,काफी,काफी,काफी,बहुत बड़ा,काफी,काफी,काफी,काफी,काफी
