country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,year,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,1,1,2,No answer,No answer,1,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,1,No answer,No answer,1,2,No answer,ముఖ్యమైనది,1,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer
India,Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,3,No answer,1,No answer,No answer,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,No answer,1,1,1,2,No answer,No answer,1,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,No answer,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer
India,Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,2022,1,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,1,3,No answer,1,No answer,No answer,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,1,1,1,1,1,2,No answer,ముఖ్యమైనది,1,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,గట్టిగా అంగీకరిస్తున్నాను,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,2022,1,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,ముఖ్యమైనది,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,2,1,2,1,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,2022,1,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,1,No answer,చాలా ముఖ్యమైనది,No answer,No answer,ముఖ్యమైనది,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,1,No answer,No answer,1,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,No answer,No answer,No answer,1,1,1,No answer,No answer,2,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,1,No answer,1,1,1,2,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,చాలా ఎక్కువ,No answer
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,2,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,1,1,1,1,1,2,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,కొంతవరకు నమ్మండి.,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,చాలా ఎక్కువ,No answer
India,Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,2022,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,ముఖ్యమైనది,No answer,No answer,1,1,1,No answer,No answer,2,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,1,1,1,1,2,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer
India,Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,2022,1,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,1,3,No answer,1,No answer,No answer,No answer,No answer,1,1,1,No answer,No answer,2,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,ముఖ్యమైనది,1,1,1,1,1,2,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,ముఖ్యమైనది,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,చాలా ముఖ్యమైనది,No answer,No answer,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,No answer,చాలా ఎక్కువ,చాలా ఎక్కువ,చాలా బాగుంది,చాలా ఎక్కువ,చాలా ఎక్కువ,No answer,చాలా ఎక్కువ,No answer
