country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
United States,English,Married,Female,Urban,US-CA California,25-34,Higher,Lower middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,9,6,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Female,Urban,US-CA California,25-34,Higher,Upper middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,9,8,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意しない,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Single,Female,Urban,US-CA California,25-34,Higher,Lower middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,5,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,9,6,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,分からない,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Female,Urban,US-CA California,45-54,Higher,Lower middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,10,8,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Male,Urban,US-CA California,25-34,Higher,Upper middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,8,6,8,5,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,10,8,2,10,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Male,Urban,US-CA California,35-44,Higher,Lower middle class,8,1,6,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,8,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,7,5,10,重要,非常に重要,重要,重要ではない,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,10,8,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Male,Urban,US-CA California,65 and more years,Higher,Lower middle class,8,2,3,7,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,3,5,10,分からない,非常に重要,重要,重要ではない,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,2,10,8,2,10,10,分からない,10,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Male,Urban,US-CA California,65 and more years,Higher,Upper middle class,8,2,7,8,2,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,3,5,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,2,10,8,2,10,10,重要ではない,10,8,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Female,Urban,US-FL Florida,25-34,Higher,Upper middle class,8,1,7,8,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,9,8,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,10,8,2,8,10,重要ではない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
United States,English,Married,Female,Urban,US-FL Florida,45-54,Middle,Working class,8,1,6,7,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,9,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,10,3,1,5,5,10,重要ではない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,とても良い,分からない,6,3,10,8,2,9,10,分からない,9,7,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,あまり重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,分からない,あまりない,分からない,かなりたくさん,かなりたくさん,分からない,あまりない,あまりない,分からない,あまりない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
