country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Egypt,Arabic,Married,Female,Rural,EG-ASN Aswan,35-44,Lower,Working class,8,4,5,7,4,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,No answer,7,6,8,10,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,No answer,3,1,5,3,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,3,No answer,No answer,2,No answer,10,分からない,9,5,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,No answer,No answer,気にしないで,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,No answer,No answer,No answer,No answer,かなりたくさん,分からない,かなりたくさん,分からない,あまりない,あまりない,No answer,あまりない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
Egypt,Arabic,Married,Male,Rural,EG-ASN Aswan,45-54,Lower,Working class,8,4,6,7,4,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,7,6,8,10,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,3,1,3,5,10,分からない,非常に重要,重要,重要ではない,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,No answer,10,8,2,No answer,10,分からない,9,5,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,気にしないで,非常に重要,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,かなりたくさん,かなりたくさん,No answer,No answer,かなりたくさん,分からない,分からない,あまりない,あまりない,あまりない,分からない,あまりない,No answer,No answer,分からない,かなりたくさん
Egypt,Arabic,Married,Female,Rural,EG-AST Asyut,16-24,Lower,Lower class,8,3,5,7,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,7,7,5,7,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,3,1,5,3,10,分からない,非常に重要,重要,重要ではない,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,3,9,8,2,No answer,10,重要,9,3,かなり尊敬しています,かなり誇りに思う,分からない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,分からない,よかった,分からない,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,あまり信用しない,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,あまりない,分からない,かなりたくさん,あまりない,あまりない,あまりない,分からない,あまりない,かなりたくさん,かなりたくさん,分からない,分からない
Egypt,Arabic,Married,Female,Rural,EG-BH Beheira,45-54,Lower,Lower class,8,3,5,7,4,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,8,7,5,7,10,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,No answer,1,5,2,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,5,10,8,2,No answer,10,重要,9,3,かなり尊敬しています,とても誇りに思う,分からない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,No answer,No answer,気にしないで,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,あまり信用しない,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,あまりない,分からない,分からない,あまりない,あまりない,あまりない,分からない,あまりない,No answer,No answer,分からない,かなりたくさん
Egypt,Arabic,Widowed,Female,Rural,EG-BH Beheira,55-64,Lower,Lower class,8,3,5,7,4,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,No answer,8,6,8,7,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,No answer,No answer,1,5,2,No answer,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,No answer,3,No answer,No answer,2,No answer,10,重要,No answer,No answer,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,No answer,No answer,気にしないで,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,あまり信用しない,ある程度信頼する,No answer,No answer,No answer,No answer,あまりない,分からない,分からない,あまりない,あまりない,あまりない,No answer,あまりない,No answer,No answer,分からない,No answer
Egypt,Arabic,Married,Male,Rural,EG-BH Beheira,55-64,Lower,Lower class,8,3,5,7,4,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,7,6,5,7,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,1,No answer,1,5,2,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,3,10,8,2,10,10,重要,9,3,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,分からない,よかった,気にしないで,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,あまり信用しない,ある程度信頼する,分からない,かなりたくさん,分からない,あまりない,あまりない,分からない,分からない,あまりない,あまりない,あまりない,分からない,あまりない,かなりたくさん,かなりたくさん,分からない,かなりたくさん
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,25-34,Middle,Lower middle class,8,4,6,7,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,No answer,7,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,No answer,1,3,5,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,No answer,10,8,2,No answer,10,分からない,8,6,かなり尊敬しています,とても誇りに思う,重要,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,分からない,よかった,分からない,No answer,完全に信頼する,ある程度信頼する,むしろ重要,No answer,No answer,ある程度信頼する,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,分からない,No answer,分からない,分からない,あまりない,No answer,No answer,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
Egypt,Arabic,Married,Female,Urban,EG-C Cairo,35-44,Middle,Lower middle class,8,4,6,7,3,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,No answer,7,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,5,1,3,5,10,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,2,9,8,2,No answer,10,分からない,8,6,かなり尊敬しています,とても誇りに思う,重要,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,分からない,よかった,分からない,No answer,完全に信頼する,ある程度信頼する,むしろ重要,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,分からない,No answer,分からない,かなりたくさん,あまりない,No answer,No answer,分からない,かなりたくさん,かなりたくさん,かなりたくさん,かなりたくさん
Egypt,Arabic,Single,Male,Urban,EG-C Cairo,16-24,Middle,Lower middle class,8,4,5,7,5,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,No answer,7,6,8,8,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,5,4,1,7,5,10,分からない,非常に重要,重要,重要ではない,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,4,9,8,2,8,10,分からない,8,6,かなり尊敬しています,とても誇りに思う,重要,同意する,分からない,むしろ重要,分からない,分からない,同意する,強く反対,同意する,むしろ重要,分からない,よかった,分からない,非常に重要,完全に信頼する,ある程度信頼する,むしろ重要,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,あまりない,分からない,かなりたくさん,分からない,あまりない,あまりない,分からない,分からない,No answer,No answer,かなりたくさん,かなりたくさん
Egypt,Arabic,Married,Female,Rural,EG-DK Dakahlia,35-44,Lower,Lower middle class,8,4,6,7,3,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,はい,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,政府の重要な決定において国民に発言権を与える,8,7,6,8,10,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,3,3,1,5,2,1,分からない,非常に重要,重要,重要,重要ではない,重要ではない,かなり良い,かなり良い,非常に悪い,かなり良い,分からない,6,5,10,8,2,No answer,10,重要,8,6,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,同意しない,同意する,強く反対,同意する,No answer,No answer,No answer,気にしないで,No answer,完全に信頼する,ある程度信頼する,非常に重要,ある程度信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,No answer,かなりたくさん,No answer,No answer,分からない,No answer,No answer,No answer,分からない,分からない,かなりたくさん,分からない,かなりたくさん,かなりたくさん,かなりたくさん,No answer
