language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q156,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Japanese,Married,Female,Urban,JP-01 Hokkaido,55-64,Higher,Upper middle class,japan,7,3,6,7,2,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,国家の秩序維持,より非人間的でなく、より人間的な社会への進歩,8,9,3,8,2,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,3,6,1,3,重要ではない,非常に重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,10,10,重要,9,6,かなり尊敬しています,とても誇りに思う,重要ではない,同意する,同意しない,非常に重要,同意しない,同意しない,同意しない,強く反対,同意する,むしろ重要,悪いこと,よかった,悪いこと,非常に重要,完全に信頼する,ある程度信頼する,全く重要ではない,完全に信頼する,あまり信用しない,ある程度信頼する,ある程度信頼する,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,分からない,かなりたくさん,分からない,かなりたくさん,かなりたくさん
Japanese,Married,Male,Urban,JP-12 Chiba,65 and more years,Higher,Lower middle class,japan,6,3,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,より非人間的でなく、より人間的な社会への進歩,7,8,4,7,2,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,5,6,1,3,重要ではない,むしろ重要,分からない,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,6,1,9,6,1,9,10,重要ではない,8,6,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,分からない,非常に重要,同意しない,分からない,同意しない,強く反対,強く同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,分からない,あまりない,分からない
Japanese,Married,Female,Urban,JP-13 Tokyo,35-44,Higher,Lower middle class,japan,6,4,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,安定した経済,7,8,4,7,3,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,2,3,6,1,3,重要ではない,むしろ重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,10,重要ではない,8,5,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,同意しない,非常に重要,同意しない,同意しない,同意しない,強く反対,同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,あまりない,分からない,かなりたくさん,分からない,あまりない,分からない
Japanese,Married,Female,Urban,JP-13 Tokyo,45-54,Higher,Lower middle class,japan,6,4,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,安定した経済,7,8,4,7,3,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,7,6,1,3,重要ではない,むしろ重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,10,重要ではない,8,5,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,同意しない,非常に重要,同意しない,同意しない,同意しない,強く反対,同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,あまり信用しない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,あまりない,分からない,分からない
Japanese,Married,Female,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,japan,6,4,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,より非人間的でなく、より人間的な社会への進歩,7,8,4,7,3,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,7,6,1,3,重要ではない,むしろ重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,10,重要ではない,8,5,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,同意しない,非常に重要,同意しない,同意しない,同意しない,強く反対,同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,あまり信用しない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,分からない,あまりない,分からない
Japanese,Married,Male,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,japan,6,4,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,安定した経済,7,8,4,7,3,決して正当化できない,決して正当化できない,重要ではない,決して正当化できない,決して正当化できない,6,1,5,6,1,3,重要ではない,むしろ重要,分からない,重要ではない,重要ではない,重要ではない,非常に悪い,かなり悪い,非常に悪い,かなり良い,分からない,6,1,9,6,1,9,9,重要ではない,8,5,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,分からない,非常に重要,同意しない,分からない,同意しない,強く反対,強く同意する,あまり重要ではない,悪いこと,分からない,悪いこと,非常に重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,あまり信用しない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,あまりない,分からない,あまりない,あまりない
Japanese,Married,Male,Urban,JP-13 Tokyo,65 and more years,Higher,Lower middle class,japan,6,3,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,より非人間的でなく、より人間的な社会への進歩,7,8,4,7,3,決して正当化できない,決して正当化できない,重要ではない,決して正当化できない,決して正当化できない,6,1,5,6,1,3,重要ではない,むしろ重要,分からない,重要ではない,重要ではない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,9,重要ではない,8,5,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,分からない,非常に重要,同意しない,分からない,同意しない,強く反対,強く同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,ある程度信頼する,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,あまりない,分からない,あまりない
Japanese,Married,Female,Urban,JP-14 Kanagawa,55-64,Higher,Lower middle class,japan,6,4,6,7,3,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,安定した経済,7,8,4,7,3,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,7,6,1,3,重要ではない,むしろ重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,10,重要ではない,8,6,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,同意しない,非常に重要,同意しない,同意しない,同意しない,強く反対,同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,分からない,かなりたくさん,分からない
Japanese,Married,Male,Urban,JP-14 Kanagawa,65 and more years,Higher,Lower middle class,japan,6,4,6,7,6,たとえ環境がある程度悪化したとしても、経済成長と雇用創出が最優先されるべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,より非人間的でなく、より人間的な社会への進歩,7,8,4,7,2,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,5,6,1,3,重要ではない,非常に重要,分からない,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,6,1,9,3,1,9,10,重要ではない,9,6,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,分からない,むしろ重要,同意しない,分からない,同意しない,強く反対,強く同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,全く重要ではない,ある程度信頼する,あまり信用しない,分からない,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,分からない,あまりない,分からない
Japanese,Married,Female,Urban,JP-22 Shizuoka,65 and more years,Higher,Lower middle class,japan,6,4,6,7,3,たとえ経済成長の鈍化や雇用の減少を招くとしても、環境保護を優先すべきである。,いいえ,職場や地域社会で物事がどのように行われるかについて、人々がより多くの発言権を持つことを目の当たりにする,価格上昇との戦い,より非人間的でなく、より人間的な社会への進歩,7,8,4,7,3,決して正当化できない,決して正当化できない,重要,決して正当化できない,決して正当化できない,6,1,7,6,1,3,重要ではない,非常に重要,重要,分からない,分からない,重要ではない,非常に悪い,かなり悪い,非常に悪い,とても良い,重要ではない,7,1,9,6,1,9,10,重要ではない,9,6,かなり尊敬しています,かなり誇りに思う,重要ではない,同意する,同意しない,むしろ重要,同意しない,同意しない,同意する,強く反対,強く同意する,あまり重要ではない,悪いこと,分からない,悪いこと,むしろ重要,完全に信頼する,ある程度信頼する,あまり重要ではない,完全に信頼する,あまり信用しない,分からない,分からない,分からない,あまりない,あまりない,あまりない,あまりない,かなりたくさん,分からない,あまりない,あまりない,あまりない,かなりたくさん,あまりない,かなりたくさん,分からない,かなりたくさん,分からない
