language,marital_status,gender,urban_rural,region,age,education_level,social_class,country_name,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
Japanese,Married,Female,Urban,JP-01 Hokkaido,55-64,Higher,Upper middle class,japan,6,6,6,7,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,8,2,2,7,7,tsuneni seitouka dekiru,tsuneni seitouka dekiru,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,6,6,2,3,1,1,juuyou dehanai,hijouni juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou,kanari yoi,kanari warui,kanari yoi,kanari yoi,juuyou,7,4,8,6,2,7,6,juuyou,7,7,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,tsuyoku hantai,doui shinai,doui shinai,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,hijouni juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,aru teido shinrai suru,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Male,Urban,JP-12 Chiba,65 and more years,Higher,Lower middle class,japan,4,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,7,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,3,2,2,juuyou,hijouni juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou dehanai,6,4,8,6,3,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui suru,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Female,Urban,JP-13 Tokyo,35-44,Higher,Lower middle class,japan,6,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,8,2,7,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,2,1,2,juuyou dehanai,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari warui,kanari yoi,juuyou dehanai,6,3,8,5,2,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui shinai,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,amari juuyou dehanai,aru teido shinrai suru,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Female,Urban,JP-13 Tokyo,45-54,Higher,Lower middle class,japan,6,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,7,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,4,2,2,1,2,juuyou dehanai,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari warui,kanari yoi,juuyou dehanai,6,3,8,5,2,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui suru,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,amari shinyou shinai,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Female,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,japan,4,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,7,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,2,1,2,juuyou dehanai,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari warui,kanari yoi,juuyou dehanai,6,3,8,5,2,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui shinai,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Male,Urban,JP-13 Tokyo,55-64,Higher,Lower middle class,japan,6,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,6,7,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,4,2,4,1,2,juuyou dehanai,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou,kanari warui,kanari warui,kanari warui,kanari yoi,juuyou dehanai,3,3,8,5,2,7,6,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui shinai,doui shinai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Male,Urban,JP-13 Tokyo,65 and more years,Higher,Lower middle class,japan,4,6,4,6,5,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,6,2,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,6,2,2,juuyou dehanai,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari warui,kanari yoi,juuyou dehanai,3,3,8,6,2,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui suru,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Female,Urban,JP-14 Kanagawa,55-64,Higher,Lower middle class,japan,6,6,6,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,2,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,3,1,2,juuyou,mushiro juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou dehanai,6,4,8,6,3,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui shinai,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Male,Urban,JP-14 Kanagawa,65 and more years,Higher,Lower middle class,japan,4,6,4,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,2,5,5,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,4,1,2,juuyou dehanai,hijouni juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou dehanai,6,4,8,6,3,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui suru,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,mushiro juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
Japanese,Married,Female,Urban,JP-22 Shizuoka,65 and more years,Higher,Lower middle class,japan,4,6,6,6,6,"tatoe keizaiseichou no donka ya koyou no genshou wo maneku toshitemo , kankyouhogo wo yuusen subekidearu .",hai,"shokuba ya chiikishakai de monogoto gadonoyouni okonawa rerukanitsuite , hitobito gayori ooku no hatsugenken wo motsu kotowo meno atari nisuru",seifu no juuyouna kettei nioite kokumin ni hatsugenken wo atae ru,7,2,2,7,8,kesshite seitouka dekinai,kesshite seitouka dekinai,juuyou dehanai,kesshite seitouka dekinai,kesshite seitouka dekinai,4,3,2,3,1,1,juuyou,hijouni juuyou,juuyou,juuyou dehanai,juuyou dehanai,juuyou dehanai,kanari warui,kanari warui,kanari yoi,kanari yoi,juuyou dehanai,6,3,8,6,2,7,7,juuyou,7,6,kanari sonkei shiteimasu,kanari hokori ni omou,juuyou dehanai,doui suru,doui shinai,mushiro juuyou,doui shinai,doui shinai,doui shinai,sansei demo hantai demonai,sansei demo hantai demonai,amari juuyou dehanai,warui koto,warui koto,warui koto,hijouni juuyou,aru teido shinrai suru,aru teido shinrai suru,amari juuyou dehanai,aru teido shinrai suru,amari shinyou shinai,amari shinyou shinai,amari shinyou shinai,amarinai,amarinai,amarinai,kanaritakusan,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai,amarinai,amarinai,amarinai,kanaritakusan,kanaritakusan,kanaritakusan,amarinai
