country,language,marital_status,gender,urban_rural,region,age,education_level,social_class,Q106,Q107,Q108,Q109,Q110,Q111,Q151,Q152,Q154,Q158,Q159,Q160,Q163,Q164,Q177,Q178,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q187,Q189,Q19,Q2,Q20,Q21,Q22,Q23,Q235,Q236,Q237,Q238,Q24,Q241,Q242,Q243,Q244,Q245,Q246,Q249,Q25,Q250,Q251,Q253,Q254,Q26,Q27,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q4,Q43,Q44,Q45,Q5,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q77,Q79,Q80,Q81,Q83
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Higher,Lower middle class,6,6,8,7,4,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,9,2,9,9,3,5,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,8,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,10,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,একমত,খুবই গুরুত্বপূর্ণ,ভালো কথা,ভালো কথা,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,জানি না,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক
India,Hindi,Single,Female,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,8,8,8,9,10,2,9,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,1,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,বরং গুরুত্বপূর্ণ,কিছু মনে করো না,কিছু মনে করো না,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না
India,Hindi,Married,Female,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,6,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,9,6,9,9,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,6,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,3,10,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,একমত,খুবই গুরুত্বপূর্ণ,ভালো কথা,ভালো কথা,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,খুব বেশি না।,বেশ অনেক,জানি না,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক
India,Hindi,Married,Female,Rural,IN-BR Bihar,45-54,Middle,Lower middle class,8,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,8,8,8,9,10,2,9,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,1,1,1,গুরুত্বপূর্ণ নয়,বরং গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,বরং গুরুত্বপূর্ণ,কিছু মনে করো না,কিছু মনে করো না,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,বেশ অনেক,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Lower middle class,8,7,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,8,8,9,9,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,1,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,কিছু মনে করো না,কিছু মনে করো না,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না
India,Hindi,Single,Male,Rural,IN-BR Bihar,16-24,Middle,Upper middle class,6,6,6,8,2,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,দেশে শৃঙ্খলা বজায় রাখা,10,10,2,9,9,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,6,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব ভালো,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,বেশ শ্রদ্ধা।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,ভালো কথা,ভালো কথা,ভালো কথা,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,অনেক ভালো,বেশ অনেক,বেশ অনেক,জানি না,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,6,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,9,6,9,9,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,4,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,3,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,ভালো কথা,ভালো কথা,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,বেশ অনেক,খুব বেশি না।,বেশ অনেক,বেশ অনেক,জানি না,খুব বেশি না।,বেশ অনেক,জানি না,জানি না,বেশ অনেক,বেশ অনেক,বেশ অনেক
India,Hindi,Married,Male,Rural,IN-BR Bihar,25-34,Middle,Lower middle class,8,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,8,8,9,10,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,1,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,একমত,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,কিছু মনে করো না,কিছু মনে করো না,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না
India,Hindi,Single,Male,Rural,IN-BR Bihar,25-34,Higher,Lower middle class,6,6,6,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,9,6,9,9,2,2,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,4,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,ভালো কথা,ভালো কথা,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,বেশ অনেক,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,জানি না,জানি না,বেশ অনেক,বেশ অনেক,বেশ অনেক
India,Hindi,Married,Male,Rural,IN-BR Bihar,35-44,Middle,Lower middle class,8,6,8,7,7,"পরিবেশ রক্ষাকে অগ্রাধিকার দেওয়া উচিত, এমনকি যদি এটি অর্থনৈতিক প্রবৃদ্ধির গতি কমিয়ে দেয় এবং কিছু চাকরি হারায়।",হাঁ,এই দেশের শক্তিশালী প্রতিরক্ষা বাহিনী নিশ্চিত করা,ক্রমবর্ধমান দামের বিরুদ্ধে লড়াই করা,9,8,8,9,10,2,9,গুরুত্বপূর্ণ,1,কখনোই ন্যায্য নয়,1,1,1,1,1,1,গুরুত্বপূর্ণ নয়,খুবই গুরুত্বপূর্ণ,গুরুত্বপূর্ণ,জানি না,গুরুত্বপূর্ণ নয়,গুরুত্বপূর্ণ,খুব খারাপ,খুব খারাপ,খুব খারাপ,খুব ভালো,গুরুত্বপূর্ণ,9,8,10,10,2,9,10,গুরুত্বপূর্ণ,8,6,খুব একটা সম্মান নেই।,বেশ গর্বিত,গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত।,অসম্মতি,বরং গুরুত্বপূর্ণ,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,দৃঢ়ভাবে একমত নই,দৃঢ়ভাবে একমত।,খুবই গুরুত্বপূর্ণ,কিছু মনে করো না,কিছু মনে করো না,কিছু মনে করো না,খুবই গুরুত্বপূর্ণ,সম্পূর্ণ বিশ্বাস করো,কিছুটা বিশ্বাস করো।,খুবই গুরুত্বপূর্ণ,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,কিছুটা বিশ্বাস করো।,বেশ অনেক,বেশ অনেক,জানি না,জানি না,জানি না,খুব বেশি না।,বেশ অনেক,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,খুব বেশি না।,বেশ অনেক,বেশ অনেক,বেশ অনেক,জানি না
